,Admin State,Allotment Name,Allotment Number,Authorization Number,Date NEPA Analysis Completed (mm/dd/yyyy)5,Date of Most Recent Land Health Evaluation Report (mm/dd/yyyy)1,Date of most recent Determination of Causal Factor(s) (mm/dd/yyyy)2,Land Health Standard(s) Not Achieved in the Allotment and Significant Causal Factor(s) Identified3,NEPA Identifier6,Office Code,Permit or Lease Status,"Type of NEPA Analysis for Grazing Authorization (EA, EIS, CX, DNA)4",Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
0,AZ,ANTELOPE,05206,201516,08/16/04,7/19/04,None needed,All standards are met,EA-AZ010-2004-0040,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
1,AZ,ANTELOPE SPRING,05210,200105,04/20/05,10/12/01,10/12/01,All standards are met,EA-AZ110-2004-0043,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
2,AZ,ATKIN WELL,05207,201530,06/10/02,12/12/08,,Progressing towards meeting desired resource conditions / DPC,EA-AZ010-2002-0026,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
3,AZ,BEANHOLE WELL,05334,201621,,8/29/08,,All standards progressing toward being met,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
4,AZ,BEAVER DAM SLOPE,04828,201027,,2/8/12,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
5,AZ,BEAVER DAM SLOPE,04828,201072,,2/8/12,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
6,AZ,BEAVER DAM SLOPE,04828,201028,,2/8/12,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
7,AZ,BIG WARREN,00119,200111,,9/12/08,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
8,AZ,BLACK CANYON,05256,201527,02/18/04,10/12/01,None needed,All standards are met,EA-AZ010-2004-0016,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
9,AZ,BLACK KNOLLS,05264,201509,,9/12/08,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
10,AZ,BLACK ROCK,04841,201002,,11/4/10,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
11,AZ,BROWN-SHUMWAY,05302,201644,03/09/07,9/30/04,None needed,All standards are met,EA-AZ110-2005-0003,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
12,AZ,BUTTON,05308,201626,03/09/07,5/19/06,,Progressing towards meeting desired resource conditions / DPC,EA-AZ110-2005-0003,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
13,AZ,CANAAN GAP,05205,201535,,12/12/08,None needed,All standards are met,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
14,AZ,CANE BEDS,05212,201500,,7/24/12,None needed,All standards are met,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
15,AZ,CANE BEDS,05212,201505,,7/24/12,None needed,All standards are met,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
16,AZ,CEDAR KNOLL,05318,201604,,9/18/12,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
17,AZ,CEDAR POCKETS UT,04866,201069,,None,,,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
18,AZ,CEDAR RIDGE,05303,202183,03/09/07,9/30/04,None needed,All standards are met,EA-AZ-110-2005-0003,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
19,AZ,CEDAR WASH,04842,200096,,None,,,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
20,AZ,CHATTERLY,05307,201625,,9/20/07,None needed,All standards are met,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
21,AZ,CLAY SPRING,04845,201887,,7/1/05,None needed,All standards are met,,LLAZA01000,APPROPRIATION ACT,,,,,,,,,,,,,,
22,AZ,CLAYHOLE,05215,200102,,9/12/08,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
23,AZ,COTTONWOOD,05209,201565,,10/5/12,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
24,AZ,COTTONWOOD,05209,201564,,10/5/12,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
25,AZ,COWBOY BUTTE,05310,200116,05/15/07,9/30/04,None needed,All standards are met,EA-AZ110-2005-009,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
26,AZ,COYOTE,05327,201790,,9/5/07,,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
27,AZ,COYOTE SPRING,04805,201014,,None,,,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
28,AZ,CROSBY TANK,05219,201503,,9/19/07,None needed,All standards are met,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
29,AZ,DIAMOND BUTTE,04833,201039,,12/11/09,None needed,All standards are met,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
30,AZ,FERN TANK,05217,201937,11/28/06,6/27/05,None needed,All standards are met,EA-AZ-110-2007-0004,LLAZA01000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
31,AZ,FERRIN,05246,201513,,11/7/11,None needed,All standards are met,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
32,AZ,FLAT TOP WELL,05214,201516,08/16/04,5/3/04,None needed,All standards are met,EA-AZ010-2004-0040,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
33,AZ,FRANKS RESERVOIR,05325,201916,,None,,,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
34,AZ,FULLER ROAD,05324,201916,,None,,,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
35,AZ,GLAZIER DAM,05202,201982,,7/20/12,None needed,All standards are met,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
36,AZ,GLAZIER DAM,05202,201533,,7/20/12,None needed,All standards are met,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
37,AZ,GRAMA POINT,05233,201900,,12/12/08,None needed,All standards are met,,LLAZA01000,ACTIVE,None,,,,,,,,,,,,,
38,AZ,GRAMMA SPRING,05225,201531,11/17/05,9/30/04,None needed,All standards are met,EA-AZ110-2006-0003,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
39,AZ,GRAMMA SPRING,05225,201521,11/17/05,9/30/04,None needed,All standards are met,EA-AZ110-2006-0003,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
40,AZ,GULCH,05230,201531,10/03/08,1/19/07,None needed,All standards are met,EA-AZ110-2008-0003,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
41,AZ,GUNSIGHT,05320,201607,,5/19/06,5/19/2006,Progressing towards meeting desired resource conditions / DPC,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
42,AZ,HACKS,05227,201539,10/03/08,1/19/07,None needed,All standards are met,EA-AZ110-2008-0003,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
43,AZ,HARRIS WELL,05238,201546,10/08/08,8/27/07,None needed,All standards are met,EA-AZ110-2007-044,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
44,AZ,HAT KNOLL,04867,201044,10/11/07,1/26/07,None needed,All standards are met,EA-AZ110-2007-0040,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
45,AZ,HEAD OF HACKS,05232,201521,02/08/07,6/24/05,None needed,All standards are met,EA-AZ110-2007-0017,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
46,AZ,HERD HOUSE,00096,201014,,None,,,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
47,AZ,HIGHWAY EAST,05309,202127,,9/20/07,None needed,All standards are met,,LLAZA01000,ACTIVE,None,,,,,,,,,,,,,
48,AZ,HIGHWAY WEST,04812,201069,,None,,,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
49,AZ,HOMESTEAD,05253,201516,08/16/04,5/3/04,None needed,All standards are met,EA-AZ010-2004-0040,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
50,AZ,HOUSE ROCK,05331,201633,03/05/02,9/30/01,,Progressing towards meeting desired resource conditions / DPC,DNA-AZ110-2001-0013,LLAZA01000,APPROPRIATION ACT,DNA,,,,,,,,,,,,,
51,AZ,HOUSE ROCK,05331,201632,03/05/02,9/30/01,,Progressing towards meeting desired resource conditions / DPC,EA-AZ110-2001-0013,LLAZA01000,APPROPRIATION ACT,EA,,,,,,,,,,,,,
52,AZ,HURRICANE CLIFF,05251,201525,10/11/07,1/19/07,None needed,All standards are met,EA-AZ110-2007-0040,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
53,AZ,HURRICANE CLIFF,05251,201641,10/11/07,1/19/07,None needed,All standards are met,EA-AZ110-2007-0040,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
54,AZ,HURRICANE RIM,00114,201502,02/16/06,7/19/04,,Progressing towards meeting desired resource conditions / DPC,EA-AZ110-2006-0019,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
55,AZ,IVANPAH,04858,201005,08/20/08,11/1/06,None needed,All standards are met,AZ-110-2008-004,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
56,AZ,IVERSON,04834,201040,09/24/04,9/7/04,None needed,All standards are met,EA-AZ-010-2004-0045,LLAZA01000,ACTIVE,EA,,,,,,,,,,,,,
57,AZ,JACKSON TANK,04830,201030,,8/20/10,None needed,All standards are met,,LLAZA01000,APPROPRIATION ACT,None,,,,,,,,,,,,,
