Adm State,Admin Office,Field Office,Allotment Number,Allotment Name,Available For Grazing,Grazing Decision,Public Acres,Amp Text,Amp Implement Date,Management Stat Text,Auth No,Permitted Aums,Suspended Aums,Susp Use Temp
AZ,LLAZA01000,ARIZONA STRIP FO,00096,HERD HOUSE,Y,,"2,390",AMP IMPLEMENTED,11/01/1981,MAINTAIN CATEGORY,0201014,95,0,
AZ,LLAZA01000,ARIZONA STRIP FO,00097,TUCKUP,Y,,"16,276",,,MAINTAIN CATEGORY,0201965,"1,075",4,0
AZ,LLAZA01000,ARIZONA STRIP FO,00099,ROCK CANYON,Y,,"1,343",,,CUSTODIAL CATEGORY,0201955,126,67,0
AZ,LLAZA01000,ARIZONA STRIP FO,00114,HURRICANE RIM,Y,,"33,099",AMP IMPLEMENTED,08/30/1983,MAINTAIN CATEGORY,0201502,"3,424",347,
AZ,LLAZA01000,ARIZONA STRIP FO,00119,BIG WARREN,Y,,"9,647",AMP IMPLEMENTED,06/27/1991,IMPROVE CATEGORY,0200111,704,74,
AZ,LLAZA01000,ARIZONA STRIP FO,02012,LIME SPRING,Y,,"3,596",,,IMPROVE CATEGORY,,,,
AZ,LLAZA01000,ARIZONA STRIP FO,04804,WHITEROCK-SOAPSTONE,Y,,"18,284",AMP IMPLEMENTED,03/01/1971,MAINTAIN CATEGORY,0201013,660,,
AZ,LLAZA01000,ARIZONA STRIP FO,04804,WHITEROCK-SOAPSTONE,Y,,"18,284",AMP IMPLEMENTED,03/01/1971,MAINTAIN CATEGORY,0201959,660,0,0
AZ,LLAZA01000,ARIZONA STRIP FO,04805,COYOTE SPRING,Y,,"20,992",,,IMPROVE CATEGORY,0201014,"1,359",484,
AZ,LLAZA01000,ARIZONA STRIP FO,04808,MAINSTREET,Y,,"156,742",AMP IMPLEMENTED,07/01/1974,MAINTAIN CATEGORY,0201005,"14,535","3,482",
AZ,LLAZA01000,ARIZONA STRIP FO,04810,SULLIVAN CANYON,Y,,"21,523",AMP IMPLEMENTED,03/01/1976,IMPROVE CATEGORY,0200064,864,"1,115",
AZ,LLAZA01000,ARIZONA STRIP FO,04811,WOLFHOLE - CANYON SP,Y,,"33,685",AMP IMPLEMENTED,02/01/1985,IMPROVE CATEGORY,0201007,"1,867",791,
AZ,LLAZA01000,ARIZONA STRIP FO,04812,HIGHWAY WEST,Y,,"11,407",AMP IMPLEMENTED,02/01/1985,IMPROVE CATEGORY,0201069,200,60,
AZ,LLAZA01000,ARIZONA STRIP FO,04813,BLAKE POND,Y,,"20,415",AMP IMPLEMENTED,09/01/1983,MAINTAIN CATEGORY,0201022,"1,317",383,
AZ,LLAZA01000,ARIZONA STRIP FO,04814,LITTLE WOLF,Y,,"7,689",AMP IMPLEMENTED,07/01/1968,MAINTAIN CATEGORY,0202445,328,312,0
AZ,LLAZA01000,ARIZONA STRIP FO,04823,WOLFHOLE LAKE,Y,,"12,549",AMP IMPLEMENTED,02/01/1988,IMPROVE CATEGORY,0201022,928,,
AZ,LLAZA01000,ARIZONA STRIP FO,04824,MOUNTAIN SHEEP,Y,,"2,024",,,CUSTODIAL CATEGORY,0201957,96,0,0
AZ,LLAZA01000,ARIZONA STRIP FO,04827,LITTLEFIELD COMM.,Y,,"71,854",,,IMPROVE CATEGORY,0201749,"2,615","1,722",0
AZ,LLAZA01000,ARIZONA STRIP FO,04828,BEAVER DAM SLOPE,Y,,"30,623",AMP IMPLEMENTED,04/01/1968,MAINTAIN CATEGORY,0201027,310,64,
AZ,LLAZA01000,ARIZONA STRIP FO,04828,BEAVER DAM SLOPE,Y,,"30,623",AMP IMPLEMENTED,04/01/1968,MAINTAIN CATEGORY,0201028,139,30,
AZ,LLAZA01000,ARIZONA STRIP FO,04828,BEAVER DAM SLOPE,Y,,"30,623",AMP IMPLEMENTED,04/01/1968,MAINTAIN CATEGORY,0201072,448,46,
AZ,LLAZA01000,ARIZONA STRIP FO,04830,JACKSON TANK,Y,,"8,013",AMP IMPLEMENTED,08/01/1967,MAINTAIN CATEGORY,0201030,857,124,
AZ,LLAZA01000,ARIZONA STRIP FO,04831,PURGATORY,Y,,"4,970",AMP IMPLEMENTED,01/01/1988,IMPROVE CATEGORY,0202445,318,68,0
AZ,LLAZA01000,ARIZONA STRIP FO,04832,MESQUITE COMMUNITY,Y,,"38,073",AMP IMPLEMENTED,03/01/1983,IMPROVE CATEGORY,0201087,"2,406",153,
AZ,LLAZA01000,ARIZONA STRIP FO,04833,DIAMOND BUTTE,Y,,"3,536",,,IMPROVE CATEGORY,0201039,395,13,
AZ,LLAZA01000,ARIZONA STRIP FO,04834,IVERSON,Y,,535,,,CUSTODIAL CATEGORY,0201040,61,3,
AZ,LLAZA01000,ARIZONA STRIP FO,04837,LOWER HURRICANE,Y,,"23,526",AMP IMPLEMENTED,02/01/1972,IMPROVE CATEGORY,0201053,"2,316","1,109",
AZ,LLAZA01000,ARIZONA STRIP FO,04837,LOWER HURRICANE,Y,,"23,526",AMP IMPLEMENTED,02/01/1972,IMPROVE CATEGORY,0202274,"2,316","1,109",0
AZ,LLAZA01000,ARIZONA STRIP FO,04838,LAMBING-STARVATION,Y,,"10,913",AMP IMPLEMENTED,03/01/1990,MAINTAIN CATEGORY,0201959,471,57,0
AZ,LLAZA01000,ARIZONA STRIP FO,04839,WOLFHOLE MOUNTAIN,Y,,"6,699",AMP IMPLEMENTED,03/01/1982,MAINTAIN CATEGORY,0201959,315,109,0
AZ,LLAZA01000,ARIZONA STRIP FO,04840,POCUM TANK,Y,,"8,212",AMP IMPLEMENTED,03/01/1982,MAINTAIN CATEGORY,0201960,494,162,0
AZ,LLAZA01000,ARIZONA STRIP FO,04841,BLACK ROCK,Y,,"36,392",AMP IMPLEMENTED,10/01/1979,IMPROVE CATEGORY,0201002,"1,565","1,404",0
AZ,LLAZA01000,ARIZONA STRIP FO,04842,CEDAR WASH,Y,,"11,913",AMP IMPLEMENTED,01/01/1981,IMPROVE CATEGORY,0200096,333,228,
AZ,LLAZA01000,ARIZONA STRIP FO,04843,LITTLEFIELD,Y,,"2,097",,,IMPROVE CATEGORY,0201749,119,40,0
AZ,LLAZA01000,ARIZONA STRIP FO,04844,MORMON WELL,Y,,"12,892",,,IMPROVE CATEGORY,0201071,361,113,
AZ,LLAZA01000,ARIZONA STRIP FO,04844,MORMON WELL,Y,,"12,892",,,IMPROVE CATEGORY,0201086,59,19,
AZ,LLAZA01000,ARIZONA STRIP FO,04845,CLAY SPRING,Y,,"11,921",AMP IMPLEMENTED,06/01/1971,MAINTAIN CATEGORY,0201887,"1,207",0,0
AZ,LLAZA01000,ARIZONA STRIP FO,04853,LITTLE TANK,Y,,"4,356",AMP IMPLEMENTED,02/01/1972,MAINTAIN CATEGORY,0201005,693,0,0
AZ,LLAZA01000,ARIZONA STRIP FO,04856,QUAIL CANYON,Y,,"15,784",AMP IMPLEMENTED,01/01/1982,MAINTAIN CATEGORY,0200097,808,0,
AZ,LLAZA01000,ARIZONA STRIP FO,04857,LIZARD,Y,,"4,198",AMP IMPLEMENTED,08/01/1982,MAINTAIN CATEGORY,0201022,210,,
AZ,LLAZA01000,ARIZONA STRIP FO,04858,IVANPAH,Y,,"12,997",AMP IMPLEMENTED,02/01/1972,MAINTAIN CATEGORY,0201005,601,488,0
AZ,LLAZA01000,ARIZONA STRIP FO,04859,MUSTANG SPRING,Y,,"9,308",,,IMPROVE CATEGORY,0202232,491,75,0
AZ,LLAZA01000,ARIZONA STRIP FO,04861,TOQUER TANK,Y,,"11,785",AMP IMPLEMENTED,02/01/1972,MAINTAIN CATEGORY,0201958,"1,801",0,0
AZ,LLAZA01000,ARIZONA STRIP FO,04862,PAT'S POND,Y,,640,,,CUSTODIAL CATEGORY,0201019,60,9,
AZ,LLAZA01000,ARIZONA STRIP FO,04863,SUNSHINE,Y,,"17,522",AMP IMPLEMENTED,06/01/1971,IMPROVE CATEGORY,0201887,"1,416",0,0
