Adm State,Admin Office,Field Office,Allotment Number,Allotment Name,Available For Grazing,Grazing Decision,Public Acres,Amp Text,Amp Implement Date,Management Stat Text,Auth No,Permitted Aums,Suspended Aums,Susp Use Temp
CA,LLCAC05000,UKIAH FO,03085,SALT CREEK,Y,,39,,,CUSTODIAL CATEGORY,0403085,8,0,0
CA,LLCAC05000,UKIAH FO,03098,RAIL CANYON,Y,,880,,,MAINTAIN CATEGORY,0403098,25,,
CA,LLCAC05000,UKIAH FO,04245,STORNETTA ALLOTMENT,Y,,"1,132",,,UNCLASSIFIED,0403977,403,0,0
CA,LLCAC05000,UKIAH FO,04258,POINT ARENA RANCH,Y,,520,,,UNCLASSIFIED,0403996,540,0,0
CA,LLCAC05000,UKIAH FO,05612,ROCKY RIDGE,Y,,"1,720",,,CUSTODIAL CATEGORY,0405612,120,,
CA,LLCAC05000,UKIAH FO,05622,JERICHO VALLEY,Y,,"4,290",,,CUSTODIAL CATEGORY,0405622,336,0,
CA,LLCAC05000,UKIAH FO,05624,MAXWELL CREEK,Y,,628,,,CUSTODIAL CATEGORY,0405624,6,,
CA,LLCAC05000,UKIAH FO,05625,CEMENT CREEK,Y,,"1,671",,,CUSTODIAL CATEGORY,0405625,84,,
CA,LLCAC05000,UKIAH FO,15636,SALT LICK CANYON,Y,,80,,,CUSTODIAL CATEGORY,0405636,6,29,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00002,OILFIELDS ROAD,Y,,520,,,MAINTAIN CATEGORY,0401001,86,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00003,NAVAL PET RES. I,Y,,480,,,MAINTAIN CATEGORY,,,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00005,BLOSSOM PEAK,Y,,80,,,CUSTODIAL CATEGORY,0403815,7,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00006,CUYAMA 2,Y,,480,,,CUSTODIAL CATEGORY,,,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00007,FREEBORN MT.,Y,,"1,804",,,CUSTODIAL CATEGORY,0401006,254,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00008,PLEITO HILLS,Y,,"3,423",,,CUSTODIAL CATEGORY,,,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00009,BADGER CREEK,Y,,480,,,CUSTODIAL CATEGORY,0403888,90,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00010,SANTA RITA,Y,,160,,,CUSTODIAL CATEGORY,,,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00012,LIVE OAK PASS,Y,,280,,,CUSTODIAL CATEGORY,0401011,72,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00013,TEMBLOR CREEK,Y,,328,,,MAINTAIN CATEGORY,0401012,82,0,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00014,CASE MOUNTAIN,Y,,"5,576",,,IMPROVE CATEGORY,0401035,423,0,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00015,NORTH TEMBLOR,Y,,"36,411",AMP IMPLEMENTED,10/01/1986,MAINTAIN CATEGORY,0401014,"8,048",0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00016,OIL FIELD,Y,,"5,273",,,MAINTAIN CATEGORY,0403480,476,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00017,NORTH FORK KAWEAH RIVER,Y,,"5,281",,,MAINTAIN CATEGORY,0401016,456,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00019,BUENA VISTA CREEK,Y,,480,,,MAINTAIN CATEGORY,0403781,72,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00020,ELEPHANT BACK,Y,,80,,,CUSTODIAL CATEGORY,0401019,16,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00021,FRAZER VALLEY,Y,,"1,694",,,MAINTAIN CATEGORY,0403432,184,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00023,HANNING FLAT WEST,Y,,754,,,CUSTODIAL CATEGORY,0403213,74,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00024,BEAR CREEK,Y,,405,,,MAINTAIN CATEGORY,0401023,10,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00027,BITTERWATER VALLEY,Y,,80,,,CUSTODIAL CATEGORY,,,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00028,KETTLEMAN HILLS,Y,,"5,276",,,IMPROVE CATEGORY,0401027,"1,319",0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00030,WEST KLIPSTEIN,Y,,561,,,CUSTODIAL CATEGORY,0403783,112,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00032,HUBBARD HILL,Y,,"3,080",,,CUSTODIAL CATEGORY,0400068,418,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00033,MANKINS CREEK,Y,,476,,,CUSTODIAL CATEGORY,0400032,80,0,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00034,NORTH COMB ROCKS,Y,,230,,,CUSTODIAL CATEGORY,,,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00035,RED HILL,Y,,160,,,CUSTODIAL CATEGORY,,,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00036,HORN MOUNTAIN,Y,,"1,517",,,CUSTODIAL CATEGORY,0404095,65,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00037,RAVEN PASS,Y,,40,,,CUSTODIAL CATEGORY,,,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00038,NORTH NAVAL PET. RES,Y,,"2,278",,,IMPROVE CATEGORY,,,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00039,CHIMINEAS RANCH SOUTH,Y,,"4,982",,,MAINTAIN CATEGORY,,,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00040,RIO BRAVO,Y,,401,,,CUSTODIAL CATEGORY,0403780,100,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00041,DERBY ACRES,Y,,530,,,MAINTAIN CATEGORY,,,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00042,JACK CANYON,Y,,33,,,CUSTODIAL CATEGORY,0401042,12,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00045,GOLDPAN CANYON,Y,,470,,,IMPROVE CATEGORY,0403221,84,0,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00047,RANKIN RANCH,Y,,867,,,CUSTODIAL CATEGORY,0400055,144,0,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00048,MOUNTAIN CREEK,Y,,264,,,CUSTODIAL CATEGORY,0401047,88,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00049,LORAINE,Y,,678,,,IMPROVE CATEGORY,0403913,113,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00050,SANTA BARBARA CANYON,Y,,"1,734",,,MAINTAIN CATEGORY,0401050,120,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00051,STUDHORSE CANYON,Y,,498,,,MAINTAIN CATEGORY,0401214,101,0,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00052,THOMPSON RIDGE,Y,,"1,250",,,MAINTAIN CATEGORY,,,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00054,WILLOW SPRING CANYON,Y,,480,,,MAINTAIN CATEGORY,0401027,96,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00055,SOUTH MOUNTAIN,Y,,186,,,CUSTODIAL CATEGORY,0401055,23,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00056,ROUND MOUNTAIN ROAD,Y,,160,,,MAINTAIN CATEGORY,0401056,27,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00057,SANTIAGO CREEK,Y,,"2,723",,,MAINTAIN CATEGORY,0404093,545,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00058,ANDERSON CANYON,Y,,"2,120",,,CUSTODIAL CATEGORY,0404070,311,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00059,LOCO BILL CANYON,Y,,640,,,MAINTAIN CATEGORY,0401038,82,0,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00060,SANTA TERESA,Y,,"1,883",,,MAINTAIN CATEGORY,0403409,204,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00061,OAK GROVE,Y,,"2,901",,,IMPROVE CATEGORY,0401061,235,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00062,CURTIS MOUNTAIN,Y,,40,,,CUSTODIAL CATEGORY,0403870,24,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00063,CHICO MARTINEZ,Y,,"8,602",,,IMPROVE CATEGORY,0401063,"1,671",0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00064,CEDAR CANYON,Y,,624,,,CUSTODIAL CATEGORY,0403411,139,0,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00065,PACKWOOD CREEK,Y,,"1,155",,,MAINTAIN CATEGORY,0401066,43,0,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00066,LIVEOAK CANYON,Y,,80,,,CUSTODIAL CATEGORY,,,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00068,SAN EMIGDIO,Y,,650,,,CUSTODIAL CATEGORY,0400073,191,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00071,RANCHERIA,Y,,194,,,CUSTODIAL CATEGORY,,,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00072,BLUESTONE RIDGE,Y,,"2,673",,,MAINTAIN CATEGORY,0401073,668,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00073,CHIMINEAS RANCH NORTH,Y,,"3,884",,,MAINTAIN CATEGORY,0400060,777,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00074,FREEDOM HILL,Y,,"5,133",,,MAINTAIN CATEGORY,0401201,539,,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00075,WOOLSTALF CREEK,Y,,768,,,MAINTAIN CATEGORY,0401201,154,0,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00075,WOOLSTALF CREEK,Y,,768,,,MAINTAIN CATEGORY,0403538,154,0,0
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00076,SACATAR MEADOW,Y,,"6,320",AMP IMPLEMENTED,03/01/1988,CUSTODIAL CATEGORY,0401207,96,0,
CA,LLCAC06000,BAKERSFIELD FIELD OFFICE,00077,WALKER PASS WEST,Y,,"14,566",AMP IMPLEMENTED,03/01/1988,IMPROVE CATEGORY,0403073,781,0,
