Adm State,Admin Office,Field Office,Allotment Number,Allotment Name,Available For Grazing,Grazing Decision,Public Acres,Amp Text,Amp Implement Date,Management Stat Text,Auth No,Permitted Aums,Suspended Aums,Susp Use Temp
CO,LLCOF02000,ROYAL GORGE FO,00002,NORTH BADGER CREEK,Y,,443,AMP IMPLEMENTED,02/08/2010,IMPROVE CATEGORY,0505191,58,0,0
CO,LLCOF02000,ROYAL GORGE FO,00003,SOUTH HIGH MESA COMMON,Y,,600,AMP IMPLEMENTED,07/23/1998,IMPROVE CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,00004,PARKDALE,Y,,"4,671",AMP IMPLEMENTED,07/23/1998,IMPROVE CATEGORY,0504720,128,0,0
CO,LLCOF02000,ROYAL GORGE FO,00015,RIVERSIDE DAM,Y,,20,,,CUSTODIAL CATEGORY,0500169,12,0,0
CO,LLCOF02000,ROYAL GORGE FO,00016,BEAR CREEK (F.S.),Y,,"7,000",AMP IMPLEMENTED,05/24/1996,IMPROVE CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,00018,IRELAND CORRALS,Y,,80,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,00024,CUCHARAS CANYON SOUTH,Y,,"1,952",AMP IMPLEMENTED,06/17/2005,IMPROVE CATEGORY,0500252,232,0,0
CO,LLCOF02000,ROYAL GORGE FO,00025,SOUTH PALO DURO CRK,Y,,605,,,CUSTODIAL CATEGORY,0500255,6,9,0
CO,LLCOF02000,ROYAL GORGE FO,02663,CUCHARAS CANYON NORTHEAST,Y,,"2,550",AMP IMPLEMENTED,06/17/2005,IMPROVE CATEGORY,0501857,380,0,0
CO,LLCOF02000,ROYAL GORGE FO,02697,12 MILE PARK NORTH,Y,,30,,,CUSTODIAL CATEGORY,0501975,3,0,
CO,LLCOF02000,ROYAL GORGE FO,02711,EAST BURLINGAME DITCH,Y,,40,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02798,BRONQUIST U#1,Y,,200,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02799,GALBETH U#2,Y,,40,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02800,PUEBLO RES U#3,Y,,80,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02801,WILLIAMS CREEK U#4,Y,,160,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02802,NW PUEBLO U#5,Y,,40,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02803,VINELAND U#6,Y,,8,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02804,AVONDALE U#7,Y,,8,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02805,TEST TRACK U#8,Y,,80,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02806,NORTH DUNES U#9,Y,,40,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02808,NEPESTA U#11,Y,,440,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02809,ALDERD U#12,Y,,40,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02810,BUFFALO ARROYO U#13,Y,,80,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02811,RYE U#14,Y,,120,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02812,GREEN HORN CR U#15,Y,,80,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02813,APACHE CREEK U#1,Y,,160,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02814,RAILROAD U#2,Y,,40,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02815,LASCAR U#3,Y,,40,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02816,CUCHARAS RES S U#4,Y,,40,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02817,CUCHARAS RES SE U#5,Y,,40,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02818,VALDEZ RES U#6,Y,,40,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02819,BUSTOS U#7,Y,,40,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02820,SANTA CLARA N U#8,Y,,40,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02821,SANTA CLARA S U#9,Y,,40,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02826,LUIS CANYON,Y,,80,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02827,NORTH LUDLOW,Y,,80,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02828,BURRO CANYON,Y,,160,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02829,BALD KNOBS,Y,,120,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02830,WOLF CANYON,Y,,320,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02831,JESUS CANYON,Y,,40,,,CUSTODIAL CATEGORY,,,,
CO,LLCOF02000,ROYAL GORGE FO,02832,FURNISH CANYON,Y,,40,,,CUSTODIAL CATEGORY,,,,
