Adm State,Admin Office,Field Office,Allotment Number,Allotment Name,Available For Grazing,Grazing Decision,Public Acres,Amp Text,Amp Implement Date,Management Stat Text,Auth No,Permitted Aums,Suspended Aums,Susp Use Temp
ID,LLIDB01000,FOUR RIVERS FIELD OFFICE,00003,JERUSALEM,Y,,"10,938",AMP IMPLEMENTED,06/01/1971,IMPROVE CATEGORY,1101276,"2,053",,
ID,LLIDB01000,FOUR RIVERS FIELD OFFICE,00004,BISSELL CREEK,Y,,"5,924",AMP IMPLEMENTED,04/01/1990,IMPROVE CATEGORY,,,,
ID,LLIDB01000,FOUR RIVERS FIELD OFFICE,00005,WILLOW RIDGE,Y,,"30,374",AMP IMPLEMENTED,07/14/1990,IMPROVE CATEGORY,1100063,"4,450","1,333",
ID,LLIDB01000,FOUR RIVERS FIELD OFFICE,00006,SHEEP CREEK COMMON,Y,,"12,493",AMP IMPLEMENTED,04/01/1990,IMPROVE CATEGORY,1101004,"1,913",0,
ID,LLIDB01000,FOUR RIVERS FIELD OFFICE,00006,SHEEP CREEK COMMON,Y,,"12,493",AMP IMPLEMENTED,04/01/1990,IMPROVE CATEGORY,1102998,98,0,
ID,LLIDB01000,FOUR RIVERS FIELD OFFICE,00006,SHEEP CREEK COMMON,Y,,"12,493",AMP IMPLEMENTED,04/01/1990,IMPROVE CATEGORY,1105145,92,0,
ID,LLIDB01000,FOUR RIVERS FIELD OFFICE,00007,TOMMY CARR,Y,,"4,927",AMP IMPLEMENTED,04/01/1990,IMPROVE CATEGORY,1101004,781,0,
ID,LLIDB01000,FOUR RIVERS FIELD OFFICE,00008,SUCCOR-HANSEN FIELD,Y,,360,AMP IMPLEMENTED,04/01/1990,CUSTODIAL CATEGORY,,,,
ID,LLIDB01000,FOUR RIVERS FIELD OFFICE,00009,BUTTE RANCH,Y,,250,AMP IMPLEMENTED,04/01/1990,IMPROVE CATEGORY,1100063,20,0,
ID,LLIDB01000,FOUR RIVERS FIELD OFFICE,00010,CHACARTEGUI,Y,,"2,120",AMP IMPLEMENTED,04/01/1990,IMPROVE CATEGORY,1101004,175,0,
ID,LLIDB01000,FOUR RIVERS FIELD OFFICE,00011,ROUND VALLEY,Y,,240,,,CUSTODIAL CATEGORY,,,,
ID,LLIDB01000,FOUR RIVERS FIELD OFFICE,00012,ARMACOST INDIVIDUAL,Y,,527,,,MAINTAIN CATEGORY,1101006,50,0,0
ID,LLIDB01000,FOUR RIVERS FIELD OFFICE,00014,LOWER ALLOTMENT,Y,,360,,,CUSTODIAL CATEGORY,1101007,59,,
ID,LLIDB01000,FOUR RIVERS FIELD OFFICE,00016,GOODRICH,Y,,"5,140",AMP WRITTEN,03/05/1995,IMPROVE CATEGORY,1100177,69,31,0
ID,LLIDB01000,FOUR RIVERS FIELD OFFICE,00016,GOODRICH,Y,,"5,140",AMP WRITTEN,03/05/1995,IMPROVE CATEGORY,1100452,22,0,0
ID,LLIDB01000,FOUR RIVERS FIELD OFFICE,00016,GOODRICH,Y,,"5,140",AMP WRITTEN,03/05/1995,IMPROVE CATEGORY,1101098,179,28,0
ID,LLIDB01000,FOUR RIVERS FIELD OFFICE,00016,GOODRICH,Y,,"5,140",AMP WRITTEN,03/05/1995,IMPROVE CATEGORY,1101298,69,4,0
ID,LLIDB01000,FOUR RIVERS FIELD OFFICE,00016,GOODRICH,Y,,"5,140",AMP WRITTEN,03/05/1995,IMPROVE CATEGORY,1104869,184,23,0
