Adm State,Admin Office,Field Office,Allotment Number,Allotment Name,Available For Grazing,Grazing Decision,Public Acres,Amp Text,Amp Implement Date,Management Stat Text,Auth No,Permitted Aums,Suspended Aums,Susp Use Temp
MT,LLMT001000,BILLINGS FIELD OFFICE,00001,PMWHR,Y,,"38,313",,,MAINTAIN CATEGORY,,,,
MT,LLMT001000,BILLINGS FIELD OFFICE,00955,BEAR CHIP COULEE,Y,,40,,,CUSTODIAL CATEGORY,2504596,6,0,
MT,LLMT001000,BILLINGS FIELD OFFICE,00960,CHURN DASH CREEK,Y,,"1,533",,,MAINTAIN CATEGORY,2500091,213,28,0
MT,LLMT001000,BILLINGS FIELD OFFICE,00970,DONALD'S COULEE,Y,,640,,,CUSTODIAL CATEGORY,2504420,146,0,0
MT,LLMT001000,BILLINGS FIELD OFFICE,00978,BRIDGER CREEK,Y,,40,,,CUSTODIAL CATEGORY,2504596,6,0,
MT,LLMT001000,BILLINGS FIELD OFFICE,01460,NORTH K HENRY,Y,,"1,493",,,MAINTAIN CATEGORY,2500171,192,121,
MT,LLMT001000,BILLINGS FIELD OFFICE,01555,CROW STUDY,Y,,320,,,CUSTODIAL CATEGORY,2504358,72,0,0
MT,LLMT001000,BILLINGS FIELD OFFICE,03114,CARSON COULEE,Y,,40,,,CUSTODIAL CATEGORY,2500974,4,0,
MT,LLMT001000,BILLINGS FIELD OFFICE,03155,UPPER ANTELOPE CK,Y,,320,,,MAINTAIN CATEGORY,2504420,45,0,0
MT,LLMT001000,BILLINGS FIELD OFFICE,03195,COAL MINE,Y,,474,,,CUSTODIAL CATEGORY,2501996,81,0,0
MT,LLMT001000,BILLINGS FIELD OFFICE,03258,NORTH POMPEY,Y,,"1,019",,,CUSTODIAL CATEGORY,2503146,139,102,0
MT,LLMT001000,BILLINGS FIELD OFFICE,03278,RAILROAD CREEK,Y,,"1,920",AMP PROPOSED,05/15/2011,MAINTAIN CATEGORY,,,,
MT,LLMT001000,BILLINGS FIELD OFFICE,03290,CASTLE BUTTE,Y,,,,,MAINTAIN CATEGORY,2504171,111,80,0
MT,LLMT001000,BILLINGS FIELD OFFICE,03357,LITTLE HIBBARD,Y,,800,,,CUSTODIAL CATEGORY,2504691,100,0,0
MT,LLMT001000,BILLINGS FIELD OFFICE,03358,MCCORMICK SPRINGS EAST,Y,,"1,880",,,CUSTODIAL CATEGORY,2504461,281,0,0
MT,LLMT001000,BILLINGS FIELD OFFICE,03373,LITTLE JIM COULEE,Y,,40,,,CUSTODIAL CATEGORY,2504293,35,0,0
MT,LLMT001000,BILLINGS FIELD OFFICE,03408,BIG DAM,Y,,200,,,CUSTODIAL CATEGORY,2504234,32,0,0
