Adm State,Admin Office,Field Office,Allotment Number,Allotment Name,Available For Grazing,Grazing Decision,Public Acres,Amp Text,Amp Implement Date,Management Stat Text,Auth No,Permitted Aums,Suspended Aums,Susp Use Temp
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00001,CONTINENTAL DIVIDE,Y,,"7,538",AMP IMPLEMENTED,03/01/1979,MAINTAIN CATEGORY,3026767,"1,121",0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00002,SHROYER COMMUNITY,Y,,"4,566",AMP IMPLEMENTED,03/01/1979,MAINTAIN CATEGORY,3000528,219,0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00002,SHROYER COMMUNITY,Y,,"4,566",AMP IMPLEMENTED,03/01/1979,MAINTAIN CATEGORY,3000607,525,,
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00003,PELON COMMUNITY,Y,,"7,590",AMP IMPLEMENTED,10/01/1970,IMPROVE CATEGORY,3000529,132,10,
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00003,PELON COMMUNITY,Y,,"7,590",AMP IMPLEMENTED,10/01/1970,IMPROVE CATEGORY,3000533,530,0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00003,PELON COMMUNITY,Y,,"7,590",AMP IMPLEMENTED,10/01/1970,IMPROVE CATEGORY,3000642,309,0,75
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00004,STARR COMMUNITY,Y,,"12,767",AMP IMPLEMENTED,11/01/1969,IMPROVE CATEGORY,3024825,438,0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00004,STARR COMMUNITY,Y,,"12,767",AMP IMPLEMENTED,11/01/1969,IMPROVE CATEGORY,3027272,"1,073",0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00005,DRY SPRINGS,Y,,"6,056",AMP IMPLEMENTED,10/01/1973,MAINTAIN CATEGORY,3024094,822,0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00006,TRES HERMANOS COMMUNITY,Y,,"3,416",AMP IMPLEMENTED,03/01/1979,MAINTAIN CATEGORY,3021112,195,,
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00006,TRES HERMANOS COMMUNITY,Y,,"3,416",AMP IMPLEMENTED,03/01/1979,MAINTAIN CATEGORY,3024330,462,0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00007,CHIJUILLA COMMUNITY,Y,,"9,678",AMP IMPLEMENTED,02/01/1969,MAINTAIN CATEGORY,3000536,"1,119",0,
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00007,CHIJUILLA COMMUNITY,Y,,"9,678",AMP IMPLEMENTED,02/01/1969,MAINTAIN CATEGORY,3000589,396,99,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00007,CHIJUILLA COMMUNITY,Y,,"9,678",AMP IMPLEMENTED,02/01/1969,MAINTAIN CATEGORY,3000643,120,0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00007,CHIJUILLA COMMUNITY,Y,,"9,678",AMP IMPLEMENTED,02/01/1969,MAINTAIN CATEGORY,3026066,84,0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00008,OJO DE LOS PINOS,Y,,"5,685",AMP IMPLEMENTED,03/01/1979,IMPROVE CATEGORY,3000501,558,0,
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00009,HORN ARROYO,Y,,"4,757",AMP IMPLEMENTED,06/01/1970,IMPROVE CATEGORY,3024091,552,108,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00010,BRANDY,Y,,"11,296",,,IMPROVE CATEGORY,3000565,"1,644",0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00011,DOS VALLES,Y,,"17,696",,,MAINTAIN CATEGORY,3000575,"2,688",0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00012,LAGUNITAS COMMUNITY,Y,,"1,467",,,CUSTODIAL CATEGORY,3000511,25,0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00012,LAGUNITAS COMMUNITY,Y,,"1,467",,,CUSTODIAL CATEGORY,3000603,48,0,
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00013,MOLINO,N,CLOSED - LUP DECISION,80,,,CUSTODIAL CATEGORY,,,,
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00014,NACIMIENTO COMMUNITY,Y,,"1,422",,,CUSTODIAL CATEGORY,3000525,111,,
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00014,NACIMIENTO COMMUNITY,Y,,"1,422",,,CUSTODIAL CATEGORY,3000624,118,0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00015,VALLE SAN ISIDRO,Y,,"4,719",AMP IMPLEMENTED,05/01/1980,MAINTAIN CATEGORY,3024090,296,0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00016,FORK ROCK MESA,Y,,800,,,CUSTODIAL CATEGORY,3000532,106,0,
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00017,MESA PORTALES,Y,,"1,996",,,MAINTAIN CATEGORY,3024093,327,0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00018,FORTY FOUR,Y,,"2,484",,,IMPROVE CATEGORY,3000660,312,0,
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00019,SENORITO COMMUNITY,Y,,303,,,IMPROVE CATEGORY,3027319,57,0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00020,SAN PABLO COMM,Y,,"1,280",AMP IMPLEMENTED,01/30/1996,MAINTAIN CATEGORY,3000539,29,0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00020,SAN PABLO COMM,Y,,"1,280",AMP IMPLEMENTED,01/30/1996,MAINTAIN CATEGORY,3000558,64,0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00021,BAMA,Y,,77,,,CUSTODIAL CATEGORY,,,,
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00022,SAN MIGUEL,N,CLOSED - LUP DECISION,80,,,CUSTODIAL CATEGORY,,,,
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00023,EAGLE MESA,Y,,"12,518",AMP IMPLEMENTED,09/21/1984,IMPROVE CATEGORY,3027273,"1,643",0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00024,RIDGE TOP,Y,,"1,350",,,IMPROVE CATEGORY,3025875,133,113,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00025,ROCK RIDGE,N,CLOSED - LUP DECISION,260,,,CUSTODIAL CATEGORY,,,,
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00026,LOS PINOS ARROYO,Y,,"3,990",,,CUSTODIAL CATEGORY,3024539,174,0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00027,DRY WELL,Y,,"2,440",,,IMPROVE CATEGORY,3000596,423,0,
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00028,PIEDRA LUMBRE COMMUNITY,Y,,"4,013",AMP IMPLEMENTED,07/01/1978,IMPROVE CATEGORY,3000557,266,0,
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00028,PIEDRA LUMBRE COMMUNITY,Y,,"4,013",AMP IMPLEMENTED,07/01/1978,IMPROVE CATEGORY,3000654,445,0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00029,COAL CREEK,Y,,"5,277",AMP IMPLEMENTED,05/01/1970,MAINTAIN CATEGORY,3026722,430,0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00030,ELK SPRINGS,Y,,"2,551",,,MAINTAIN CATEGORY,,,,
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00031,CANADA CANDELARIA,Y,,"5,219",,,CUSTODIAL CATEGORY,3000616,616,,
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00032,CERROS COLORADOS,Y,,"8,087",AMP IMPLEMENTED,06/01/1978,IMPROVE CATEGORY,3025194,"1,284",0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00033,CEBO COMMUNITY,Y,,"7,274",,,MAINTAIN CATEGORY,3000505,795,,
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00033,CEBO COMMUNITY,Y,,"7,274",,,MAINTAIN CATEGORY,3025332,345,,
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00034,TWIN BUTTE,Y,,"6,530",AMP IMPLEMENTED,03/01/1979,MAINTAIN CATEGORY,3000651,"1,262",0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00035,TORREON WASH,Y,,"4,801",,,MAINTAIN CATEGORY,3000574,691,,
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00036,ARROYO EMPEDRADO,Y,,"3,507",,,IMPROVE CATEGORY,3000646,858,64,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00037,NORTH SAN LUIS MESA,Y,,"1,996",AMP IMPLEMENTED,03/01/1995,MAINTAIN CATEGORY,3000661,264,0,0
NM,LLNMA01000,RIO PUERCO FIELD OFFICE,00038,SAN LUIS COMMUNITY,Y,,"5,039",AMP IMPLEMENTED,03/01/1972,MAINTAIN CATEGORY,3000544,48,0,48
