Adm State,Admin Office,Field Office,Allotment Number,Allotment Name,Available For Grazing,Grazing Decision,Public Acres,Amp Text,Amp Implement Date,Management Stat Text,Auth No,Permitted Aums,Suspended Aums,Susp Use Temp
NV,LLNVB01000,MOUNT LEWIS FO,00062,WILLOW RANCH,Y,,"63,510",AMP IMPLEMENTED,01/01/1971,MAINTAIN CATEGORY,2706080,"3,621","1,749",
NV,LLNVB01000,MOUNT LEWIS FO,00063,MILLETT RANCH INDIV,Y,,797,,,CUSTODIAL CATEGORY,2706066,72,0,0
NV,LLNVB01000,MOUNT LEWIS FO,00064,3-BARS,Y,,"76,740",,,IMPROVE CATEGORY,2700143,"5,840","4,683",
NV,LLNVB01000,MOUNT LEWIS FO,02145,NORTH BUFFALO,Y,,"55,071",,,CUSTODIAL CATEGORY,2703975,"2,100",0,0
NV,LLNVB01000,MOUNT LEWIS FO,02145,NORTH BUFFALO,Y,,"55,071",,,CUSTODIAL CATEGORY,2706020,"1,194",0,
NV,LLNVB01000,MOUNT LEWIS FO,02145,NORTH BUFFALO,Y,,"55,071",,,CUSTODIAL CATEGORY,2706029,153,0,
NV,LLNVB01000,MOUNT LEWIS FO,05473,UNION MOUNTAIN,Y,,"20,940",,,IMPROVE CATEGORY,2703675,271,77,
NV,LLNVB01000,MOUNT LEWIS FO,05473,UNION MOUNTAIN,Y,,"20,940",,,IMPROVE CATEGORY,2703786,"1,488",420,
NV,LLNVB01000,MOUNT LEWIS FO,10002,COPPER CANYON,Y,,"60,948",,,IMPROVE CATEGORY,2703975,"1,002",87,0
NV,LLNVB01000,MOUNT LEWIS FO,10002,COPPER CANYON,Y,,"60,948",,,IMPROVE CATEGORY,2706006,50,,
NV,LLNVB01000,MOUNT LEWIS FO,10002,COPPER CANYON,Y,,"60,948",,,IMPROVE CATEGORY,2706020,384,24,
NV,LLNVB01000,MOUNT LEWIS FO,10002,COPPER CANYON,Y,,"60,948",,,IMPROVE CATEGORY,2706029,"3,587",224,
NV,LLNVB01000,MOUNT LEWIS FO,10003,CARICO LAKE,Y,,"562,352",AMP IMPLEMENTED,09/30/2005,IMPROVE CATEGORY,2700168,"10,463",0,0
NV,LLNVB01000,MOUNT LEWIS FO,10003,CARICO LAKE,Y,,"562,352",AMP IMPLEMENTED,09/30/2005,IMPROVE CATEGORY,2702908,"1,741",0,
NV,LLNVB01000,MOUNT LEWIS FO,10003,CARICO LAKE,Y,,"562,352",AMP IMPLEMENTED,09/30/2005,IMPROVE CATEGORY,2703974,295,0,0
NV,LLNVB01000,MOUNT LEWIS FO,10003,CARICO LAKE,Y,,"562,352",AMP IMPLEMENTED,09/30/2005,IMPROVE CATEGORY,2706023,884,0,
NV,LLNVB01000,MOUNT LEWIS FO,10003,CARICO LAKE,Y,,"562,352",AMP IMPLEMENTED,09/30/2005,IMPROVE CATEGORY,2706031,777,0,
NV,LLNVB01000,MOUNT LEWIS FO,10003,CARICO LAKE,Y,,"562,352",AMP IMPLEMENTED,09/30/2005,IMPROVE CATEGORY,2706032,"9,880",0,0
NV,LLNVB01000,MOUNT LEWIS FO,10004,AUSTIN,Y,,"235,100",AMP IMPLEMENTED,10/05/2007,IMPROVE CATEGORY,2706012,178,229,0
NV,LLNVB01000,MOUNT LEWIS FO,10004,AUSTIN,Y,,"235,100",AMP IMPLEMENTED,10/05/2007,IMPROVE CATEGORY,2706018,"12,501","14,653",0
NV,LLNVB01000,MOUNT LEWIS FO,10004,AUSTIN,Y,,"235,100",AMP IMPLEMENTED,10/05/2007,IMPROVE CATEGORY,2706023,"1,691","3,359",0
NV,LLNVB01000,MOUNT LEWIS FO,10004,AUSTIN,Y,,"235,100",AMP IMPLEMENTED,10/05/2007,IMPROVE CATEGORY,2706037,108,36,0
NV,LLNVB01000,MOUNT LEWIS FO,10005,MANHATTAN MTN.,Y,,"63,234",,,CUSTODIAL CATEGORY,2706018,"1,746","3,371",0
NV,LLNVB01000,MOUNT LEWIS FO,10006,GRASS VALLEY,Y,,"282,854",,,IMPROVE CATEGORY,2702890,"9,472",586,0
NV,LLNVB01000,MOUNT LEWIS FO,10006,GRASS VALLEY,Y,,"282,854",,,IMPROVE CATEGORY,2704061,"4,551",0,0
NV,LLNVB01000,MOUNT LEWIS FO,10006,GRASS VALLEY,Y,,"282,854",,,IMPROVE CATEGORY,2706015,"3,048",0,0
NV,LLNVB01000,MOUNT LEWIS FO,10006,GRASS VALLEY,Y,,"282,854",,,IMPROVE CATEGORY,2706054,630,180,0
NV,LLNVB01000,MOUNT LEWIS FO,10014,GILBERT CREEK,Y,,"248,350",,,IMPROVE CATEGORY,2706018,"6,453","8,765",0
NV,LLNVB01000,MOUNT LEWIS FO,10014,GILBERT CREEK,Y,,"248,350",,,IMPROVE CATEGORY,2706023,750,0,0
NV,LLNVB01000,MOUNT LEWIS FO,10014,GILBERT CREEK,Y,,"248,350",,,IMPROVE CATEGORY,2706037,"5,868","3,004",0
NV,LLNVB01000,MOUNT LEWIS FO,10018,O'TOOLE RANCHES,Y,,"11,684",AMP IMPLEMENTED,06/21/1971,MAINTAIN CATEGORY,2703963,"1,006",230,0
NV,LLNVB01000,MOUNT LEWIS FO,10019,HOME ALLOTMENT,Y,,"18,845",AMP IMPLEMENTED,01/01/1971,MAINTAIN CATEGORY,2706022,901,207,
NV,LLNVB01000,MOUNT LEWIS FO,10020,MOUNT AIRY,Y,,"80,093",,,MAINTAIN CATEGORY,2706023,213,0,0
NV,LLNVB01000,MOUNT LEWIS FO,10020,MOUNT AIRY,Y,,"80,093",,,MAINTAIN CATEGORY,2706033,"3,438","1,465",
NV,LLNVB01000,MOUNT LEWIS FO,10021,BUFFALO VALLEY,Y,,"137,211",,,IMPROVE CATEGORY,2703211,"4,856",0,"1,732"
NV,LLNVB01000,MOUNT LEWIS FO,10021,BUFFALO VALLEY,Y,,"137,211",,,IMPROVE CATEGORY,2706020,595,0,
NV,LLNVB01000,MOUNT LEWIS FO,10022,TIERNEY CREEK,Y,,"6,149",AMP IMPLEMENTED,01/01/1971,IMPROVE CATEGORY,2703964,817,0,
NV,LLNVB01000,MOUNT LEWIS FO,10023,SAN JUAN,Y,,"64,988",AMP IMPLEMENTED,01/01/1971,MAINTAIN CATEGORY,2703680,"7,968",0,0
NV,LLNVB01000,MOUNT LEWIS FO,10023,SAN JUAN,Y,,"64,988",AMP IMPLEMENTED,01/01/1971,MAINTAIN CATEGORY,2706023,63,0,0
NV,LLNVB01000,MOUNT LEWIS FO,10023,SAN JUAN,Y,,"64,988",AMP IMPLEMENTED,01/01/1971,MAINTAIN CATEGORY,2706027,"1,138",0,0
NV,LLNVB01000,MOUNT LEWIS FO,10031,ARAMBEL,Y,,"45,526",AMP IMPLEMENTED,09/27/2004,CUSTODIAL CATEGORY,2704013,"1,349","1,205",0
NV,LLNVB01000,MOUNT LEWIS FO,10032,BLACK POINT,Y,,"59,430",AMP IMPLEMENTED,01/07/2000,IMPROVE CATEGORY,2704073,"4,312","2,307",0
NV,LLNVB01000,MOUNT LEWIS FO,10034,NORTH DIAMOND,Y,,"78,892",,,CUSTODIAL CATEGORY,2703675,723,397,0
NV,LLNVB01000,MOUNT LEWIS FO,10034,NORTH DIAMOND,Y,,"78,892",,,CUSTODIAL CATEGORY,2703786,"2,856","2,452",0
NV,LLNVB01000,MOUNT LEWIS FO,10035,DIAMOND SPRINGS,Y,,"69,679",AMP IMPLEMENTED,03/01/1980,IMPROVE CATEGORY,2703237,"3,680","1,607",0
NV,LLNVB01000,MOUNT LEWIS FO,10036,DRY CREEK,Y,,"149,225",,,IMPROVE CATEGORY,2706054,"5,702","2,311",0
NV,LLNVB01000,MOUNT LEWIS FO,10038,FISH CREEK RANCH,Y,,"287,984",AMP IMPLEMENTED,09/27/2004,IMPROVE CATEGORY,2703605,"1,500","8,085",
NV,LLNVB01000,MOUNT LEWIS FO,10038,FISH CREEK RANCH,Y,,"287,984",AMP IMPLEMENTED,09/27/2004,IMPROVE CATEGORY,2703895,"2,513","23,915",0
NV,LLNVB01000,MOUNT LEWIS FO,10038,FISH CREEK RANCH,Y,,"287,984",AMP IMPLEMENTED,09/27/2004,IMPROVE CATEGORY,2703923,729,0,73
NV,LLNVB01000,MOUNT LEWIS FO,10039,FLYNN/PARMAN INDIV.,Y,,"29,825",,,IMPROVE CATEGORY,2703977,"1,357",758,0
NV,LLNVB01000,MOUNT LEWIS FO,10041,JD,Y,,"97,740",,,MAINTAIN CATEGORY,2703900,"8,200",0,0
NV,LLNVB01000,MOUNT LEWIS FO,10042,KINGSTON,Y,,"78,881",,,CUSTODIAL CATEGORY,2703688,"1,214",0,0
NV,LLNVB01000,MOUNT LEWIS FO,10042,KINGSTON,Y,,"78,881",,,CUSTODIAL CATEGORY,2706082,"1,506",0,
NV,LLNVB01000,MOUNT LEWIS FO,10043,LUCKY C,Y,,"108,666",AMP IMPLEMENTED,09/27/2004,CUSTODIAL CATEGORY,2704077,"3,054",888,0
NV,LLNVB01000,MOUNT LEWIS FO,10044,PARMAN INDIVIDUAL,Y,,580,,,CUSTODIAL CATEGORY,2703977,42,75,0
NV,LLNVB01000,MOUNT LEWIS FO,10045,POTTS,Y,,"167,600",,,IMPROVE CATEGORY,2703925,"9,262",0,0
NV,LLNVB01000,MOUNT LEWIS FO,10046,ROBERTS MOUNTAIN,Y,,"151,060",AMP IMPLEMENTED,10/01/1997,IMPROVE CATEGORY,2700138,"9,624","8,596",0
NV,LLNVB01000,MOUNT LEWIS FO,10047,ROMANO,Y,,"76,070",AMP IMPLEMENTED,09/27/2004,IMPROVE CATEGORY,2703910,"2,045",0,0
NV,LLNVB01000,MOUNT LEWIS FO,10047,ROMANO,Y,,"76,070",AMP IMPLEMENTED,09/27/2004,IMPROVE CATEGORY,2704077,842,0,0
NV,LLNVB01000,MOUNT LEWIS FO,10048,RUBY HILL,Y,,"14,659",AMP IMPLEMENTED,09/27/2004,MAINTAIN CATEGORY,2703252,"1,011",0,0
NV,LLNVB01000,MOUNT LEWIS FO,10048,RUBY HILL,Y,,"14,659",AMP IMPLEMENTED,09/27/2004,MAINTAIN CATEGORY,2703703,275,0,0
NV,LLNVB01000,MOUNT LEWIS FO,10049,SANTA FE/FERGUSON,Y,,"84,375",,,IMPROVE CATEGORY,2706077,"5,202","2,379",0
NV,LLNVB01000,MOUNT LEWIS FO,10050,SEVEN MILE,Y,,"88,420",AMP IMPLEMENTED,01/16/2004,IMPROVE CATEGORY,2703923,"5,573","3,231",
NV,LLNVB01000,MOUNT LEWIS FO,10051,SHANNON STATION,Y,,"32,888",AMP IMPLEMENTED,01/05/2000,IMPROVE CATEGORY,2703673,"2,520",691,0
