Adm State,Admin Office,Field Office,Allotment Number,Allotment Name,Available For Grazing,Grazing Decision,Public Acres,Amp Text,Amp Implement Date,Management Stat Text,Auth No,Permitted Aums,Suspended Aums,Susp Use Temp
OR,LLORB05000,THREE RIVERS RA,00010,MALHEUR LAKE,Y,,757,,,CUSTODIAL CATEGORY,3602321,49,0,
OR,LLORB05000,THREE RIVERS RA,00040,EAST VICKERS FFR,Y,,974,,,CUSTODIAL CATEGORY,3601525,79,0,
OR,LLORB05000,THREE RIVERS RA,00046,EAST WAGONTIRE FFR,Y,,"6,794",,,CUSTODIAL CATEGORY,3602830,505,0,0
OR,LLORB05000,THREE RIVERS RA,02246,CAMP CURRY  FFR,Y,,74,,,CUSTODIAL CATEGORY,3602818,8,0,
OR,LLORB05000,THREE RIVERS RA,02249,HAMILTON FFR,Y,,199,,,CUSTODIAL CATEGORY,3602290,20,0,
OR,LLORB05000,THREE RIVERS RA,02252,DIETRICH FIELD FFR,Y,,284,,,CUSTODIAL CATEGORY,3600207,7,0,0
OR,LLORB05000,THREE RIVERS RA,02425,PURDY FFR,Y,,97,,,CUSTODIAL CATEGORY,,,,
OR,LLORB05000,THREE RIVERS RA,02922,THISSEL FFR,Y,,545,AMP IMPLEMENTED,01/07/1993,CUSTODIAL CATEGORY,3602514,68,3,0
OR,LLORB05000,THREE RIVERS RA,04096,HI DESERT,Y,,400,,,CUSTODIAL CATEGORY,3602094,80,,
OR,LLORB05000,THREE RIVERS RA,04097,TROUT CREEK,Y,,"2,815",AMP IMPLEMENTED,10/01/1991,IMPROVE CATEGORY,3601957,100,0,0
OR,LLORB05000,THREE RIVERS RA,04097,TROUT CREEK,Y,,"2,815",AMP IMPLEMENTED,10/01/1991,IMPROVE CATEGORY,3602484,320,0,
OR,LLORB05000,THREE RIVERS RA,04098,EAST CREEK-PINE HILL,Y,,"1,840",AMP IMPLEMENTED,10/01/1991,MAINTAIN CATEGORY,3602484,374,,
OR,LLORB05000,THREE RIVERS RA,04126,ABRAHAMS DRAW,Y,,40,,,CUSTODIAL CATEGORY,3602454,8,0,
OR,LLORB05000,THREE RIVERS RA,04138,WHITE,Y,,81,,,CUSTODIAL CATEGORY,3602133,10,0,
OR,LLORB05000,THREE RIVERS RA,04143,SILVIES,Y,,"10,507",,,IMPROVE CATEGORY,3601597,"2,500",,
OR,LLORB05000,THREE RIVERS RA,05003,MALHEUR SLOUGH,Y,,80,,,CUSTODIAL CATEGORY,,,,
OR,LLORB05000,THREE RIVERS RA,05101,DEVINE RIDGE,Y,,"8,662",AMP IMPLEMENTED,04/01/1969,MAINTAIN CATEGORY,3602275,493,0,
OR,LLORB05000,THREE RIVERS RA,05101,DEVINE RIDGE,Y,,"8,662",AMP IMPLEMENTED,04/01/1969,MAINTAIN CATEGORY,3602343,204,0,
OR,LLORB05000,THREE RIVERS RA,05101,DEVINE RIDGE,Y,,"8,662",AMP IMPLEMENTED,04/01/1969,MAINTAIN CATEGORY,3602352,610,0,
OR,LLORB05000,THREE RIVERS RA,05102,PRATHER CREEK,Y,,988,AMP IMPLEMENTED,01/01/1983,MAINTAIN CATEGORY,3602343,41,13,
OR,LLORB05000,THREE RIVERS RA,05103,LIME KILN & SEC 30,Y,,"3,303",AMP IMPLEMENTED,04/01/1970,MAINTAIN CATEGORY,3602433,224,161,
OR,LLORB05000,THREE RIVERS RA,05104,SOLDIER CREEK,Y,,"2,645",AMP IMPLEMENTED,03/01/1970,MAINTAIN CATEGORY,3601807,102,98,
OR,LLORB05000,THREE RIVERS RA,05105,CAMP HARNEY,Y,,"13,500",AMP IMPLEMENTED,12/01/1980,MAINTAIN CATEGORY,3602192,92,66,0
OR,LLORB05000,THREE RIVERS RA,05105,CAMP HARNEY,Y,,"13,500",AMP IMPLEMENTED,12/01/1980,MAINTAIN CATEGORY,3602269,215,128,
OR,LLORB05000,THREE RIVERS RA,05105,CAMP HARNEY,Y,,"13,500",AMP IMPLEMENTED,12/01/1980,MAINTAIN CATEGORY,3602301,639,430,
OR,LLORB05000,THREE RIVERS RA,05106,COW CREEK,Y,,"2,701",AMP IMPLEMENTED,04/01/1970,IMPROVE CATEGORY,3602323,230,0,
OR,LLORB05000,THREE RIVERS RA,05202,HUNTER,Y,,"2,443",AMP IMPLEMENTED,12/01/1980,MAINTAIN CATEGORY,3600190,453,0,
OR,LLORB05000,THREE RIVERS RA,05203,CATTERSON FFR,Y,,642,,,CUSTODIAL CATEGORY,3600190,125,,
OR,LLORB05000,THREE RIVERS RA,05206,STOCKADE FFR,Y,,887,AMP IMPLEMENTED,01/01/1990,CUSTODIAL CATEGORY,3602357,63,100,
OR,LLORB05000,THREE RIVERS RA,05217,THOMPSON FFR,Y,,"1,198",,,CUSTODIAL CATEGORY,3602321,77,,
OR,LLORB05000,THREE RIVERS RA,05218,BENNETT FFR,Y,,316,,,CUSTODIAL CATEGORY,3602274,18,,
OR,LLORB05000,THREE RIVERS RA,05221,WEST DAVIES,Y,,"1,355",AMP IMPLEMENTED,10/21/1993,IMPROVE CATEGORY,3602265,143,0,0
OR,LLORB05000,THREE RIVERS RA,05223,EAST DAVIES,Y,,"3,555",AMP IMPLEMENTED,10/21/1993,IMPROVE CATEGORY,3602266,128,0,0
OR,LLORB05000,THREE RIVERS RA,05300,ALKALI,Y,,"7,907",AMP IMPLEMENTED,02/01/1999,MAINTAIN CATEGORY,3600067,69,0,
OR,LLORB05000,THREE RIVERS RA,05300,ALKALI,Y,,"7,907",AMP IMPLEMENTED,02/01/1999,MAINTAIN CATEGORY,3600204,101,0,
OR,LLORB05000,THREE RIVERS RA,05300,ALKALI,Y,,"7,907",AMP IMPLEMENTED,02/01/1999,MAINTAIN CATEGORY,3601941,348,0,0
OR,LLORB05000,THREE RIVERS RA,05300,ALKALI,Y,,"7,907",AMP IMPLEMENTED,02/01/1999,MAINTAIN CATEGORY,3601973,178,0,
OR,LLORB05000,THREE RIVERS RA,05300,ALKALI,Y,,"7,907",AMP IMPLEMENTED,02/01/1999,MAINTAIN CATEGORY,3602253,21,0,0
OR,LLORB05000,THREE RIVERS RA,05300,ALKALI,Y,,"7,907",AMP IMPLEMENTED,02/01/1999,MAINTAIN CATEGORY,3602254,163,0,
OR,LLORB05000,THREE RIVERS RA,05300,ALKALI,Y,,"7,907",AMP IMPLEMENTED,02/01/1999,MAINTAIN CATEGORY,3602270,21,0,
OR,LLORB05000,THREE RIVERS RA,05300,ALKALI,Y,,"7,907",AMP IMPLEMENTED,02/01/1999,MAINTAIN CATEGORY,3602271,13,0,
OR,LLORB05000,THREE RIVERS RA,05300,ALKALI,Y,,"7,907",AMP IMPLEMENTED,02/01/1999,MAINTAIN CATEGORY,3602278,126,0,
OR,LLORB05000,THREE RIVERS RA,05300,ALKALI,Y,,"7,907",AMP IMPLEMENTED,02/01/1999,MAINTAIN CATEGORY,3602279,121,0,
OR,LLORB05000,THREE RIVERS RA,05300,ALKALI,Y,,"7,907",AMP IMPLEMENTED,02/01/1999,MAINTAIN CATEGORY,3602289,186,0,
OR,LLORB05000,THREE RIVERS RA,05300,ALKALI,Y,,"7,907",AMP IMPLEMENTED,02/01/1999,MAINTAIN CATEGORY,3602302,223,0,
OR,LLORB05000,THREE RIVERS RA,05300,ALKALI,Y,,"7,907",AMP IMPLEMENTED,02/01/1999,MAINTAIN CATEGORY,3602326,35,0,0
OR,LLORB05000,THREE RIVERS RA,05300,ALKALI,Y,,"7,907",AMP IMPLEMENTED,02/01/1999,MAINTAIN CATEGORY,3602356,69,0,
OR,LLORB05000,THREE RIVERS RA,05301,PRINCETON,Y,,"13,242",AMP IMPLEMENTED,12/01/1980,MAINTAIN CATEGORY,3601794,732,0,
OR,LLORB05000,THREE RIVERS RA,05301,PRINCETON,Y,,"13,242",AMP IMPLEMENTED,12/01/1980,MAINTAIN CATEGORY,3602205,236,0,0
OR,LLORB05000,THREE RIVERS RA,05301,PRINCETON,Y,,"13,242",AMP IMPLEMENTED,12/01/1980,MAINTAIN CATEGORY,3602318,377,,
OR,LLORB05000,THREE RIVERS RA,05301,PRINCETON,Y,,"13,242",AMP IMPLEMENTED,12/01/1980,MAINTAIN CATEGORY,3602338,"1,187",0,0
OR,LLORB05000,THREE RIVERS RA,05302,BIG BIRD,Y,,"2,529",AMP IMPLEMENTED,12/01/1980,MAINTAIN CATEGORY,3601996,300,,
OR,LLORB05000,THREE RIVERS RA,05302,BIG BIRD,Y,,"2,529",AMP IMPLEMENTED,12/01/1980,MAINTAIN CATEGORY,3602342,118,,
OR,LLORB05000,THREE RIVERS RA,05303,DRY LAKE,Y,,"19,227",AMP IMPLEMENTED,12/01/1980,MAINTAIN CATEGORY,3600190,"4,200",,
