Adm State,Admin Office,Field Office,Allotment Number,Allotment Name,Available For Grazing,Grazing Decision,Public Acres,Amp Text,Amp Implement Date,Management Stat Text,Auth No,Permitted Aums,Suspended Aums,Susp Use Temp
UT,LLUT030000,GS/ESCALANTE NTL MON,00018,BULL RUN (STATE),Y,,631,,,CUSTODIAL CATEGORY,4300309,5,0,0
UT,LLUT030000,GS/ESCALANTE NTL MON,04102,PINE POINT,Y,,"8,828",AMP IMPLEMENTED,09/30/1988,IMPROVE CATEGORY,4300500,365,0,0
UT,LLUT030000,GS/ESCALANTE NTL MON,04111,SINK HOLES,Y,,"7,512",,,IMPROVE CATEGORY,4300180,154,591,
UT,LLUT030000,GS/ESCALANTE NTL MON,04121,JOHNSON CANYON,Y,,"10,121",,,CUSTODIAL CATEGORY,4300503,274,163,0
UT,LLUT030000,GS/ESCALANTE NTL MON,04124,TIMBER MOUNTAIN,Y,,"7,662",,,MAINTAIN CATEGORY,4303599,426,0,0
UT,LLUT030000,GS/ESCALANTE NTL MON,04130,VERMILION,Y,,"43,085",AMP IMPLEMENTED,05/01/1969,MAINTAIN CATEGORY,4300011,"2,849",443,0
UT,LLUT030000,GS/ESCALANTE NTL MON,04134,WHITE SAGE,Y,,"2,142",,,CUSTODIAL CATEGORY,4303823,76,4,0
UT,LLUT030000,GS/ESCALANTE NTL MON,04135,LAKE POWELL,Y,,,AMP WRITTEN,09/19/1982,MAINTAIN CATEGORY,4300311,20,1,0
UT,LLUT030000,GS/ESCALANTE NTL MON,04145,WIREGRASS,Y,,"7,367",AMP IMPLEMENTED,12/28/1988,MAINTAIN CATEGORY,4300508,99,0,
UT,LLUT030000,GS/ESCALANTE NTL MON,04161,SECOND POINT,Y,,"5,890",,,CUSTODIAL CATEGORY,4300013,21,,
UT,LLUT030000,GS/ESCALANTE NTL MON,04161,SECOND POINT,Y,,"5,890",,,CUSTODIAL CATEGORY,4300515,29,0,0
UT,LLUT030000,GS/ESCALANTE NTL MON,04161,SECOND POINT,Y,,"5,890",,,CUSTODIAL CATEGORY,4304942,48,21,0
UT,LLUT030000,GS/ESCALANTE NTL MON,05912,PINE CREEK (STATE),Y,,619,,,MAINTAIN CATEGORY,4300664,27,0,0
UT,LLUT030000,GS/ESCALANTE NTL MON,05917,BLACK ROCK (STATE),Y,,"1,396",,,MAINTAIN CATEGORY,4304942,64,0,0
