Adm State,Admin Office,Field Office,Allotment Number,Allotment Name,Available For Grazing,Grazing Decision,Public Acres,Amp Text,Amp Implement Date,Management Stat Text,Auth No,Permitted Aums,Suspended Aums,Susp Use Temp
WY,LLWYD01000,PINEDALE FO,00735,SIGNAL IND.,Y,,"1,000",,,MAINTAIN CATEGORY,4904407,178,0,0
WY,LLWYD01000,PINEDALE FO,00736,KISMET IND,Y,,"1,000",,,CUSTODIAL CATEGORY,4915559,75,0,0
WY,LLWYD01000,PINEDALE FO,00747,WEST ASPEN RIDGE,Y,,"2,455",,,MAINTAIN CATEGORY,4912602,846,0,0
WY,LLWYD01000,PINEDALE FO,01999,CB HOLDING PEN,Y,,120,,,UNCLASSIFIED,4904435,9,0,0
WY,LLWYD01000,PINEDALE FO,02000,DANIEL RIDGE IND,Y,,120,,,MAINTAIN CATEGORY,4904301,10,0,0
WY,LLWYD01000,PINEDALE FO,02024,BOUSMAN COMMON,Y,,"4,804",AMP IMPLEMENTED,05/01/1967,MAINTAIN CATEGORY,4904313,608,,
WY,LLWYD01000,PINEDALE FO,02024,BOUSMAN COMMON,Y,,"4,804",AMP IMPLEMENTED,05/01/1967,MAINTAIN CATEGORY,4904446,147,0,
WY,LLWYD01000,PINEDALE FO,02030,HORSE CR IND,Y,,440,,,MAINTAIN CATEGORY,,,,
WY,LLWYD01000,PINEDALE FO,02031,MESA COM,Y,,"55,789",AMP IMPLEMENTED,05/01/1969,MAINTAIN CATEGORY,4904349,294,273,0
WY,LLWYD01000,PINEDALE FO,02031,MESA COM,Y,,"55,789",AMP IMPLEMENTED,05/01/1969,MAINTAIN CATEGORY,4904354,42,39,0
WY,LLWYD01000,PINEDALE FO,02031,MESA COM,Y,,"55,789",AMP IMPLEMENTED,05/01/1969,MAINTAIN CATEGORY,4904357,528,487,0
WY,LLWYD01000,PINEDALE FO,02031,MESA COM,Y,,"55,789",AMP IMPLEMENTED,05/01/1969,MAINTAIN CATEGORY,4904380,158,146,0
WY,LLWYD01000,PINEDALE FO,02031,MESA COM,Y,,"55,789",AMP IMPLEMENTED,05/01/1969,MAINTAIN CATEGORY,4904396,686,596,0
WY,LLWYD01000,PINEDALE FO,02031,MESA COM,Y,,"55,789",AMP IMPLEMENTED,05/01/1969,MAINTAIN CATEGORY,4904407,106,48,0
WY,LLWYD01000,PINEDALE FO,02031,MESA COM,Y,,"55,789",AMP IMPLEMENTED,05/01/1969,MAINTAIN CATEGORY,4904418,523,532,0
WY,LLWYD01000,PINEDALE FO,02031,MESA COM,Y,,"55,789",AMP IMPLEMENTED,05/01/1969,MAINTAIN CATEGORY,4904421,48,39,0
WY,LLWYD01000,PINEDALE FO,02031,MESA COM,Y,,"55,789",AMP IMPLEMENTED,05/01/1969,MAINTAIN CATEGORY,4904422,70,57,
WY,LLWYD01000,PINEDALE FO,02031,MESA COM,Y,,"55,789",AMP IMPLEMENTED,05/01/1969,MAINTAIN CATEGORY,4904435,888,859,0
WY,LLWYD01000,PINEDALE FO,02031,MESA COM,Y,,"55,789",AMP IMPLEMENTED,05/01/1969,MAINTAIN CATEGORY,4904438,97,89,
WY,LLWYD01000,PINEDALE FO,02031,MESA COM,Y,,"55,789",AMP IMPLEMENTED,05/01/1969,MAINTAIN CATEGORY,4914400,133,123,
WY,LLWYD01000,PINEDALE FO,02031,MESA COM,Y,,"55,789",AMP IMPLEMENTED,05/01/1969,MAINTAIN CATEGORY,4915813,46,43,0
WY,LLWYD01000,PINEDALE FO,02031,MESA COM,Y,,"55,789",AMP IMPLEMENTED,05/01/1969,MAINTAIN CATEGORY,4915862,900,833,0
