Off CD,Fo Name,Auth No,P/L Eff Dt,P/L exp Dt,Permit Status,Allotment Number,Allotment Name,Lvsk #,Lvsk Kind,Pd Beg Dt,Pd End Dt,Type Use,PL %,Aums
LLAZA01000,ARIZONA STRIP FO,0200054,9/1/2007,8/30/2017,,05316,LOST SPRING GAP,12,CATTLE,3/1/2003,4/30/2003,ACTIVE,100,24
LLAZA01000,ARIZONA STRIP FO,0200054,9/1/2007,8/30/2017,,05316,LOST SPRING GAP,12,CATTLE,1/1/2003,2/28/2003,ACTIVE,100,23
LLAZA01000,ARIZONA STRIP FO,0200064,3/1/2015,2/28/2025,FLPMA 402(C)(2)/APPROP ACT,04810,SULLIVAN CANYON,72,CATTLE,3/1/2003,2/28/2004,ACTIVE,100,864
LLAZA01000,ARIZONA STRIP FO,0200096,3/1/2010,2/28/2017,FLPMA 402(C)(2)/APPROP ACT,04842,CEDAR WASH,67,CATTLE,10/16/2004,2/28/2005,ACTIVE,100,300
LLAZA01000,ARIZONA STRIP FO,0200096,3/1/2010,2/28/2017,FLPMA 402(C)(2)/APPROP ACT,04842,CEDAR WASH,67,CATTLE,3/1/2005,3/15/2005,ACTIVE,100,33
LLAZA01000,ARIZONA STRIP FO,0200097,3/1/2016,2/28/2026,,04856,QUAIL CANYON,68,CATTLE,12/1/2004,2/28/2005,ACTIVE,99,199
LLAZA01000,ARIZONA STRIP FO,0200097,3/1/2016,2/28/2026,,04856,QUAIL CANYON,68,CATTLE,3/1/2005,11/30/2005,ACTIVE,99,609
LLAZA01000,ARIZONA STRIP FO,0200102,12/1/2014,11/30/2024,FLPMA 402(C)(2)/APPROP ACT,05215,CLAYHOLE,908,CATTLE,12/1/2004,11/30/2005,ACTIVE,86,9371
LLAZA01000,ARIZONA STRIP FO,0200105,9/1/2015,8/31/2025,,05210,ANTELOPE SPRING,134,CATTLE,9/16/2005,11/15/2005,ACTIVE,79,212
LLAZA01000,ARIZONA STRIP FO,0200105,9/1/2015,8/31/2025,,05210,ANTELOPE SPRING,119,CATTLE,11/16/2005,2/28/2006,ACTIVE,79,325
LLAZA01000,ARIZONA STRIP FO,0200105,9/1/2015,8/31/2025,,05210,ANTELOPE SPRING,120,CATTLE,3/1/2005,9/15/2005,ACTIVE,79,620
LLAZA01000,ARIZONA STRIP FO,0200111,3/1/2015,2/28/2025,FLPMA 402(C)(2)/APPROP ACT,00119,BIG WARREN,62,CATTLE,12/1/2004,11/30/2005,ACTIVE,94,699
LLAZA01000,ARIZONA STRIP FO,0200111,3/1/2015,2/28/2025,FLPMA 402(C)(2)/APPROP ACT,05263,YELLOWSTONE,36,CATTLE,12/1/2004,11/30/2005,ACTIVE,70,302
LLAZA01000,ARIZONA STRIP FO,0200116,8/1/2007,7/31/2017,,05310,COWBOY BUTTE,40,CATTLE,3/1/1991,5/31/1991,ACTIVE,67,81
LLAZA01000,ARIZONA STRIP FO,0200116,8/1/2007,7/31/2017,,05310,COWBOY BUTTE,40,CATTLE,11/1/1990,2/28/1991,ACTIVE,67,106
LLAZA01000,ARIZONA STRIP FO,0200910,7/31/2012,7/30/2022,FLPMA 402(C)(2)/APPROP ACT,05243,WHITE POCKETS,40,CATTLE,3/1/1989,2/28/1990,ACTIVE,100,480
LLAZA01000,ARIZONA STRIP FO,0201002,3/1/2015,2/28/2025,FLPMA 402(C)(2)/APPROP ACT,04841,BLACK ROCK,159,CATTLE,3/1/1989,2/28/1990,ACTIVE,82,1565
LLAZA01000,ARIZONA STRIP FO,0201005,2/1/2009,1/31/2019,,04808,MAINSTREET,1558,CATTLE,12/1/1992,11/30/1993,ACTIVE,77,14396
LLAZA01000,ARIZONA STRIP FO,0201005,2/1/2009,1/31/2019,,04808,MAINSTREET,15,HORSE,12/1/1992,11/30/1993,ACTIVE,77,139
LLAZA01000,ARIZONA STRIP FO,0201005,2/1/2009,1/31/2019,,04853,LITTLE TANK,1,CATTLE,3/1/2009,3/31/2009,ACTIVE,79,1
LLAZA01000,ARIZONA STRIP FO,0201005,2/1/2009,1/31/2019,,04853,LITTLE TANK,73,CATTLE,12/1/2008,11/30/2009,ACTIVE,79,692
LLAZA01000,ARIZONA STRIP FO,0201005,2/1/2009,1/31/2019,,04858,IVANPAH,5,CATTLE,3/1/2009,4/5/2009,ACTIVE,77,5
LLAZA01000,ARIZONA STRIP FO,0201005,2/1/2009,1/31/2019,,04858,IVANPAH,2,HORSE,12/1/2008,11/30/2009,ACTIVE,77,18
LLAZA01000,ARIZONA STRIP FO,0201005,2/1/2009,1/31/2019,,04858,IVANPAH,63,CATTLE,12/1/2008,11/30/2009,ACTIVE,77,582
LLAZA01000,ARIZONA STRIP FO,0201007,3/1/2007,2/28/2017,FLPMA 402(C)(2)/APPROP ACT,04811,WOLFHOLE - CANYON SP,183,CATTLE,3/1/1988,2/28/1989,ACTIVE,85,1867
LLAZA01000,ARIZONA STRIP FO,0201013,4/5/2014,4/4/2024,FLPMA 402(C)(2)/APPROP ACT,04804,WHITEROCK-SOAPSTONE,88,CATTLE,10/16/1989,2/28/1990,ACTIVE,100,393
LLAZA01000,ARIZONA STRIP FO,0201013,4/5/2014,4/4/2024,FLPMA 402(C)(2)/APPROP ACT,04804,WHITEROCK-SOAPSTONE,88,CATTLE,3/1/1989,5/31/1989,ACTIVE,100,266
LLAZA01000,ARIZONA STRIP FO,0201014,3/1/2015,2/28/2025,FLPMA 402(C)(2)/APPROP ACT,00096,HERD HOUSE,37,CATTLE,12/1/2001,2/28/2002,ACTIVE,54,59
LLAZA01000,ARIZONA STRIP FO,0201014,3/1/2015,2/28/2025,FLPMA 402(C)(2)/APPROP ACT,00096,HERD HOUSE,37,CATTLE,3/1/2002,4/24/2002,ACTIVE,54,36
LLAZA01000,ARIZONA STRIP FO,0201014,3/1/2015,2/28/2025,FLPMA 402(C)(2)/APPROP ACT,04805,COYOTE SPRING,222,CATTLE,3/1/1999,4/30/1999,ACTIVE,96,427
LLAZA01000,ARIZONA STRIP FO,0201014,3/1/2015,2/28/2025,FLPMA 402(C)(2)/APPROP ACT,04805,COYOTE SPRING,4,HORSE,11/1/1999,2/28/2000,ACTIVE,96,15
LLAZA01000,ARIZONA STRIP FO,0201014,3/1/2015,2/28/2025,FLPMA 402(C)(2)/APPROP ACT,04805,COYOTE SPRING,222,CATTLE,11/1/1999,2/28/2000,ACTIVE,96,841
LLAZA01000,ARIZONA STRIP FO,0201014,3/1/2015,2/28/2025,FLPMA 402(C)(2)/APPROP ACT,04805,COYOTE SPRING,4,HORSE,3/1/1999,4/30/1999,ACTIVE,96,8
LLAZA01000,ARIZONA STRIP FO,0201019,3/1/2015,2/28/2025,FLPMA 402(C)(2)/APPROP ACT,04862,PAT'S POND,12,CATTLE,3/1/1994,4/30/1994,ACTIVE,100,24
LLAZA01000,ARIZONA STRIP FO,0201019,3/1/2015,2/28/2025,FLPMA 402(C)(2)/APPROP ACT,04862,PAT'S POND,12,CATTLE,12/1/1993,2/28/1994,ACTIVE,100,36
LLAZA01000,ARIZONA STRIP FO,0201027,3/1/2010,2/28/2020,FLPMA 402(C)(2)/APPROP ACT,04828,BEAVER DAM SLOPE,67,CATTLE,3/1/1996,3/15/1996,ACTIVE,93,31
LLAZA01000,ARIZONA STRIP FO,0201027,3/1/2010,2/28/2020,FLPMA 402(C)(2)/APPROP ACT,04828,BEAVER DAM SLOPE,67,CATTLE,10/16/1995,2/28/1996,ACTIVE,93,279
LLAZA01000,ARIZONA STRIP FO,0201028,3/1/2010,2/28/2020,FLPMA 402(C)(2)/APPROP ACT,04828,BEAVER DAM SLOPE,30,CATTLE,3/1/1996,3/15/1996,ACTIVE,93,14
LLAZA01000,ARIZONA STRIP FO,0201028,3/1/2010,2/28/2020,FLPMA 402(C)(2)/APPROP ACT,04828,BEAVER DAM SLOPE,30,CATTLE,10/16/1995,2/28/1996,ACTIVE,93,125
