Off CD,Fo Name,Auth No,P/L Eff Dt,P/L exp Dt,Permit Status,Allotment Number,Allotment Name,Lvsk #,Lvsk Kind,Pd Beg Dt,Pd End Dt,Type Use,PL %,Aums
LLCAC05000,UKIAH FO,0403085,03/01/2013,02/28/2023,,03085,SALT CREEK,20,CATTLE,3/8/2014,3/15/2014,ACTIVE,100,5
LLCAC05000,UKIAH FO,0403085,03/01/2013,02/28/2023,,03085,SALT CREEK,20,CATTLE,4/12/2014,4/19/2014,ACTIVE,100,5
LLCAC05000,UKIAH FO,0403085,03/01/2013,02/28/2023,,03085,SALT CREEK,20,CATTLE,2/1/2015,2/8/2015,ACTIVE,100,5
LLCAC05000,UKIAH FO,0403085,03/01/2013,02/28/2023,,03085,SALT CREEK,20,CATTLE,1/14/2015,1/21/2015,ACTIVE,100,5
LLCAC05000,UKIAH FO,0403098,03/01/2008,02/28/2018,,03098,RAIL CANYON,5,CATTLE,3/1/1990,6/30/1990,ACTIVE,100,20
LLCAC05000,UKIAH FO,0403098,03/01/2008,02/28/2018,,03098,RAIL CANYON,5,CATTLE,2/1/1991,2/28/1991,ACTIVE,100,5
LLCAC05000,UKIAH FO,0403977,06/29/2014,06/29/2017,,04245,STORNETTA ALLOTMENT,50,CATTLE,10/29/2014,6/30/2015,ACTIVE,100,403
LLCAC05000,UKIAH FO,0403977,06/29/2014,06/29/2017,,04245,STORNETTA ALLOTMENT,135,CATTLE,6/30/2014,12/29/2014,ACTIVE,100,812
LLCAC05000,UKIAH FO,0403977,06/29/2014,06/29/2017,,04245,STORNETTA ALLOTMENT,50,CATTLE,6/30/2014,2/26/2015,ACTIVE,100,398
LLCAC05000,UKIAH FO,0403996,09/01/2014,08/31/2017,,04258,POINT ARENA RANCH,45,CATTLE,9/1/2014,8/30/2015,ACTIVE,100,539
LLCAC05000,UKIAH FO,0405612,03/01/2013,02/28/2023,,05612,ROCKY RIDGE,40,CATTLE,3/1/1990,5/30/1990,ACTIVE,100,120
LLCAC05000,UKIAH FO,0405622,08/21/2007,02/28/2017,,05622,JERICHO VALLEY,51,CATTLE,4/15/2007,10/31/2007,ACTIVE,100,335
LLCAC05000,UKIAH FO,0405624,03/01/2013,02/28/2023,,05624,MAXWELL CREEK,1,CATTLE,4/1/1999,9/30/1999,ACTIVE,100,6
LLCAC05000,UKIAH FO,0405625,03/01/2005,02/28/2008,HOLD,05625,CEMENT CREEK,24,CATTLE,4/16/1990,7/30/1990,ACTIVE,100,84
