Off CD,Fo Name,Auth No,P/L Eff Dt,P/L exp Dt,Permit Status,Allotment Number,Allotment Name,Lvsk #,Lvsk Kind,Pd Beg Dt,Pd End Dt,Type Use,PL %,Aums
LLCOF02000,ROYAL GORGE FO,0500022,03/01/2008,02/28/2018,,05721,SILVER MTN. WEST,1,CATTLE,3/1/2007,2/28/2008,CUSTODIAL,100,17
LLCOF02000,ROYAL GORGE FO,0500022,03/01/2008,02/28/2018,,05722,SILVER MTN. NORTH,1,CATTLE,3/1/2007,2/28/2008,CUSTODIAL,100,4
LLCOF02000,ROYAL GORGE FO,0500024,03/01/2009,02/28/2019,,26027,WILDCAT CREEK,1,CATTLE,3/1/2009,2/28/2010,CUSTODIAL,100,6
LLCOF02000,ROYAL GORGE FO,0500025,03/01/2010,02/28/2020,,05763,WHITE HILLS,3,CATTLE,3/1/2010,2/28/2011,CUSTODIAL,100,38
LLCOF02000,ROYAL GORGE FO,0500028,03/01/2009,02/28/2019,,16019,WELDONA,4,CATTLE,3/1/2008,2/28/2009,CUSTODIAL,100,44
LLCOF02000,ROYAL GORGE FO,0500033,03/01/2010,02/28/2020,,05923,IRON MTN. SOUTH,5,CATTLE,3/1/2010,2/28/2011,CUSTODIAL,100,58
LLCOF02000,ROYAL GORGE FO,0500044,03/01/2010,02/28/2020,,26004,COPE ALLOTMENT,4,CATTLE,3/1/2010,2/28/2011,CUSTODIAL,100,48
LLCOF02000,ROYAL GORGE FO,0500048,03/01/2010,02/28/2020,,05053,BEAR PEAK,2,CATTLE,3/1/2010,2/28/2011,ACTIVE,100,24
LLCOF02000,ROYAL GORGE FO,0500050,03/01/2010,02/28/2020,HOLD,05718,YELLOWSTONE CREEK,1,CATTLE,3/1/2010,2/28/2011,CUSTODIAL,100,2
LLCOF02000,ROYAL GORGE FO,0500057,03/01/2010,02/28/2020,,05899,ANTELOPE,1,CATTLE,3/1/2010,2/28/2011,CUSTODIAL,100,7
LLCOF02000,ROYAL GORGE FO,0500068,03/01/2008,02/28/2018,,05986,FARISITA,1,CATTLE,3/1/2007,2/28/2008,ACTIVE,100,12
LLCOF02000,ROYAL GORGE FO,0500075,03/01/2008,02/28/2018,,05874,MAY CREEK,3,CATTLE,3/1/2007,2/28/2008,CUSTODIAL,100,33
LLCOF02000,ROYAL GORGE FO,0500085,03/01/2011,02/28/2021,,05081,BUMBACK SPRING,1,CATTLE,3/1/2009,2/28/2010,CUSTODIAL,100,12
LLCOF02000,ROYAL GORGE FO,0500104,03/01/2015,02/28/2025,,05035,CURRANT CREEK EAST,2,CATTLE,3/1/2015,2/28/2016,CUSTODIAL,100,20
LLCOF02000,ROYAL GORGE FO,0500112,03/01/2008,02/28/2018,,05221,MEADOW GULCH,1,CATTLE,3/1/2007,2/28/2008,CUSTODIAL,100,6
LLCOF02000,ROYAL GORGE FO,0500143,03/01/2008,02/28/2018,,05927,PHELPS CANYON,1,CATTLE,3/1/2007,2/28/2008,CUSTODIAL,100,9
LLCOF02000,ROYAL GORGE FO,0500146,03/01/2008,02/28/2018,,05732,MAURICIO,1,CATTLE,3/1/2007,2/28/2008,ACTIVE,100,12
LLCOF02000,ROYAL GORGE FO,0500169,03/01/2009,02/28/2019,,00015,RIVERSIDE DAM,1,CATTLE,3/1/2004,2/28/2005,ACTIVE,100,12
LLCOF02000,ROYAL GORGE FO,0500171,03/01/2008,02/28/2018,,05193,JACK HALL,36,CATTLE,6/15/2008,7/7/2008,ACTIVE,100,27
LLCOF02000,ROYAL GORGE FO,0500171,03/01/2008,02/28/2018,,05193,JACK HALL,72,CATTLE,7/8/2008,9/30/2008,ACTIVE,50,101
LLCOF02000,ROYAL GORGE FO,0500171,03/01/2008,02/28/2018,,05194,REINKE RIDGE,1,CATTLE,3/1/2008,2/28/2009,ACTIVE,100,12
LLCOF02000,ROYAL GORGE FO,0500232,09/30/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,05125,31 MILE MTN ALLOT.,30,CATTLE,3/1/2013,2/28/2014,ACTIVE,5,18
LLCOF02000,ROYAL GORGE FO,0500232,09/30/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,05125,31 MILE MTN ALLOT.,26,CATTLE,3/1/2013,2/28/2014,ACTIVE,81,253
LLCOF02000,ROYAL GORGE FO,0500232,09/30/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,05134,ASHER GULCH,12,CATTLE,3/1/2013,2/28/2014,ACTIVE,100,144
LLCOF02000,ROYAL GORGE FO,0500232,09/30/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,05134,ASHER GULCH,6,CATTLE,3/1/2013,2/28/2014,ACTIVE,100,72
LLCOF02000,ROYAL GORGE FO,0500232,09/30/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,05134,ASHER GULCH,8,CATTLE,3/1/2013,2/28/2014,ACTIVE,100,96
LLCOF02000,ROYAL GORGE FO,0500232,09/30/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,05134,ASHER GULCH,9,CATTLE,3/1/2013,2/28/2014,ACTIVE,56,60
LLCOF02000,ROYAL GORGE FO,0500232,09/30/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,05134,ASHER GULCH,18,CATTLE,3/1/2013,2/28/2014,ACTIVE,100,216
LLCOF02000,ROYAL GORGE FO,0500232,09/30/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,05134,ASHER GULCH,4,CATTLE,3/1/2013,2/28/2014,ACTIVE,88,42
LLCOF02000,ROYAL GORGE FO,0500232,09/30/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,05134,ASHER GULCH,13,CATTLE,3/1/2013,2/28/2014,ACTIVE,15,23
LLCOF02000,ROYAL GORGE FO,0500232,09/30/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,05134,ASHER GULCH,2,CATTLE,3/1/2013,2/28/2014,ACTIVE,100,24
LLCOF02000,ROYAL GORGE FO,0500232,09/30/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,05134,ASHER GULCH,7,CATTLE,3/1/2013,2/28/2014,ACTIVE,14,12
LLCOF02000,ROYAL GORGE FO,0500232,09/30/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,05134,ASHER GULCH,17,CATTLE,3/1/2013,2/28/2014,ACTIVE,11,22
LLCOF02000,ROYAL GORGE FO,0500232,09/30/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,15052,MILL GULCH WEST,8,CATTLE,3/1/2013,2/28/2014,ACTIVE,100,96
LLCOF02000,ROYAL GORGE FO,0500248,03/01/2012,02/28/2022,,05097,KELLY CREEK,1,CATTLE,3/1/2012,2/28/2013,CUSTODIAL,100,10
LLCOF02000,ROYAL GORGE FO,0500250,03/01/2015,02/28/2025,,15039,NORTH WAUGH,2,CATTLE,3/1/2015,2/28/2016,CUSTODIAL,100,24
LLCOF02000,ROYAL GORGE FO,0500250,03/01/2015,02/28/2025,,15040,OWENS CREEK,1,CATTLE,3/1/2015,2/28/2016,CUSTODIAL,100,6
LLCOF02000,ROYAL GORGE FO,0500252,03/01/2015,02/28/2025,FLPMA 402(C)(2)/APPROP ACT,00024,CUCHARAS CANYON SOUTH,13,CATTLE,11/1/2015,2/28/2016,CUSTODIAL,100,52
LLCOF02000,ROYAL GORGE FO,0500252,03/01/2015,02/28/2025,FLPMA 402(C)(2)/APPROP ACT,00024,CUCHARAS CANYON SOUTH,60,CATTLE,12/1/2015,2/28/2016,CUSTODIAL,100,180
LLCOF02000,ROYAL GORGE FO,0500255,03/01/2010,02/28/2020,HOLD,00025,SOUTH PALO DURO CRK,1,CATTLE,3/1/2010,2/28/2011,CUSTODIAL,100,6
LLCOF02000,ROYAL GORGE FO,0501857,03/01/2006,02/28/2016,,02663,CUCHARAS CANYON NORTHEAST,28,CATTLE,11/1/2006,2/28/2007,CUSTODIAL,100,114
