Off CD,Fo Name,Auth No,P/L Eff Dt,P/L exp Dt,Permit Status,Allotment Number,Allotment Name,Lvsk #,Lvsk Kind,Pd Beg Dt,Pd End Dt,Type Use,PL %,Aums
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100019,03/01/2012,02/28/2022,FLPMA 402(C)(2)/APPROP ACT,00346,OXBOW,324,CATTLE,3/16/2002,12/15/2002,ACTIVE,66,1933
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100026,03/01/2009,02/28/2019,,00189,MCCOOL INDIVIDUAL,59,CATTLE,4/15/2002,6/30/2002,ACTIVE,70,105
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100034,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,00309,BOISE FRONT,1000,SHEEP,5/5/2002,5/27/2002,ACTIVE,88,133
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100034,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,00309,BOISE FRONT,1000,SHEEP,10/25/2002,11/16/2002,ACTIVE,88,133
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100034,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,00310,BLACK CANYON,3073,SHEEP,3/11/2003,5/23/2003,ACTIVE,100,1495
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100034,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,00311,NO UNIT,1740,SHEEP,10/25/2002,11/30/2002,ACTIVE,100,423
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100034,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,00311,NO UNIT,1800,SHEEP,5/21/2002,5/31/2002,ACTIVE,15,20
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100034,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,00311,NO UNIT,3500,SHEEP,10/25/2002,11/30/2002,ACTIVE,35,298
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100034,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,00311,NO UNIT,3600,SHEEP,4/16/2002,5/20/2002,ACTIVE,50,414
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100034,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,00311,NO UNIT,3500,SHEEP,11/1/2002,12/4/2002,ACTIVE,35,274
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100034,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,00311,NO UNIT,1600,SHEEP,6/1/2002,6/30/2002,ACTIVE,15,47
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100041,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,00352,SHIRTS CREEK,28,CATTLE,5/19/2003,7/5/2003,ACTIVE,100,44
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100046,03/01/2014,02/28/2019,FLPMA 402(C)(2)/APPROP ACT,00813,MOUNTAIN HOME SUBUNIT,59,CATTLE,11/1/1999,12/31/1999,ACTIVE,100,118
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100046,03/01/2014,02/28/2019,FLPMA 402(C)(2)/APPROP ACT,00813,MOUNTAIN HOME SUBUNIT,59,CATTLE,4/1/2000,6/15/2000,ACTIVE,100,147
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100063,03/01/2012,02/28/2022,FLPMA 402(C)(2)/APPROP ACT,00005,WILLOW RIDGE,1115,CATTLE,11/1/2002,12/31/2002,ACTIVE,53,1185
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100063,03/01/2012,02/28/2022,FLPMA 402(C)(2)/APPROP ACT,00005,WILLOW RIDGE,1115,CATTLE,3/1/2002,8/15/2002,ACTIVE,53,3264
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100063,03/01/2012,02/28/2022,FLPMA 402(C)(2)/APPROP ACT,00009,BUTTE RANCH,5,CATTLE,9/1/2002,12/31/2002,ACTIVE,100,20
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100063,03/01/2012,02/28/2022,FLPMA 402(C)(2)/APPROP ACT,00124,SAND HALLOW,41,CATTLE,12/1/2002,2/28/2003,ACTIVE,100,121
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100075,03/01/2013,02/28/2023,,00148,INDIAN MOUNTAIN COMMON,52,CATTLE,10/1/2003,10/31/2003,ACTIVE,86,46
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100075,03/01/2013,02/28/2023,,00148,INDIAN MOUNTAIN COMMON,85,CATTLE,5/15/2003,6/30/2003,ACTIVE,86,113
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100090,03/01/2009,02/28/2019,,20124,LUND FFR,6,CATTLE,4/15/1999,6/15/1999,ACTIVE,100,12
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100107,08/30/2010,02/28/2020,,00088,ROUND VALLEY FFR,24,CATTLE,7/1/2011,7/21/2011,ACTIVE,100,17
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100140,03/01/2014,02/28/2024,FLPMA 402(C)(2)/APPROP ACT,00822,WEST SLATER FLAT,223,CATTLE,10/16/2002,12/15/2002,ACTIVE,100,447
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100140,03/01/2014,02/28/2024,FLPMA 402(C)(2)/APPROP ACT,00822,WEST SLATER FLAT,333,CATTLE,4/15/2005,5/31/2005,ACTIVE,100,515
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100140,03/01/2014,02/28/2024,FLPMA 402(C)(2)/APPROP ACT,00876,EAST SLATER FLAT,175,CATTLE,10/16/2005,1/15/2006,ACTIVE,100,529
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100140,03/01/2014,02/28/2024,FLPMA 402(C)(2)/APPROP ACT,00876,EAST SLATER FLAT,199,CATTLE,4/15/2006,6/15/2006,ACTIVE,100,406
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100143,03/01/2009,02/28/2019,,00152,COUNCIL-CUPRUM ROAD,20,CATTLE,4/15/2009,6/30/2009,CUSTODIAL,24,8
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100143,03/01/2009,02/28/2019,,01360,TIMBER GULCH,20,CATTLE,5/15/2009,9/30/2009,CUSTODIAL,50,16
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100148,03/01/2012,02/28/2022,FLPMA 402(C)(2)/APPROP ACT,00813,MOUNTAIN HOME SUBUNIT,150,CATTLE,10/15/2002,12/14/2002,ACTIVE,100,301
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100151,03/01/2011,02/28/2021,FLPMA 402(C)(2)/APPROP ACT,01502,WITTIE,3,CATTLE,4/16/2011,9/15/2011,ACTIVE,100,15
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100162,03/01/2015,02/19/2018,FLPMA 402(C)(2)/APPROP ACT,00069,CHRESTESEN,125,CATTLE,4/1/1989,9/30/1989,ACTIVE,38,286
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100177,03/01/2009,02/28/2019,,00016,GOODRICH,48,CATTLE,5/1/2009,6/30/2009,CUSTODIAL,100,69
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100182,03/01/2013,11/30/2022,,00349,MCCHORD BUTTE,318,CATTLE,5/1/2003,10/31/2003,ACTIVE,55,1058
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100182,03/01/2013,11/30/2022,,00381,COW CAMP,3,CATTLE,5/1/2003,10/31/2003,ACTIVE,79,14
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100182,03/01/2013,11/30/2022,,00382,BEEF TRAP,59,CATTLE,9/15/2003,10/31/2003,ACTIVE,55,50
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100251,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,00052,M BRENT INDIVIDUAL,33,CATTLE,5/1/1996,9/30/1996,ACTIVE,26,43
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100295,03/01/2013,02/28/2023,,00265,WEST PAYETTE,2,CATTLE,6/1/1999,6/30/1999,ACTIVE,100,2
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100297,03/01/2012,02/28/2016,FLPMA 402(C)(2)/APPROP ACT,00145,SCOTT CREEK,210,CATTLE,4/1/2002,10/31/2002,ACTIVE,44,650
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100297,03/01/2012,02/28/2016,FLPMA 402(C)(2)/APPROP ACT,00145,SCOTT CREEK,16,CATTLE,4/1/2002,4/30/2002,ACTIVE,100,16
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100298,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,00084,DAHNKE,150,CATTLE,4/1/1989,5/15/1989,ACTIVE,26,58
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100304,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,20128,CHERRY GULCH,2,HORSE,4/1/1997,5/31/1997,ACTIVE,31,1
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100304,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,20128,CHERRY GULCH,60,CATTLE,5/1/1997,6/1/1997,ACTIVE,31,20
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100304,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,20128,CHERRY GULCH,60,CATTLE,11/15/1997,12/15/1997,ACTIVE,31,19
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100375,03/01/2014,02/28/2019,FLPMA 402(C)(2)/APPROP ACT,00818,DITTO CREEK,845,CATTLE,3/1/2004,3/31/2004,ACTIVE,42,362
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100375,03/01/2014,02/28/2019,FLPMA 402(C)(2)/APPROP ACT,00818,DITTO CREEK,428,CATTLE,4/1/2004,5/31/2004,ACTIVE,42,361
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100375,03/01/2014,02/28/2019,FLPMA 402(C)(2)/APPROP ACT,00818,DITTO CREEK,562,CATTLE,9/1/2004,2/28/2005,ACTIVE,42,1405
LLIDB01000,FOUR RIVERS FIELD OFFICE,1100411,03/01/2007,02/28/2017,,00167,LUPINE HILLS,11,CATTLE,4/15/2007,10/15/2007,CUSTODIAL,66,17
