Off CD,Fo Name,Auth No,P/L Eff Dt,P/L exp Dt,Permit Status,Allotment Number,Allotment Name,Lvsk #,Lvsk Kind,Pd Beg Dt,Pd End Dt,Type Use,PL %,Aums
LLMT001000,BILLINGS FIELD OFFICE,2500014,06/15/2011,10/01/2020,,05403,BELLION CREEK,50,CATTLE,9/1/2011,10/1/2011,ACTIVE,15,8
LLMT001000,BILLINGS FIELD OFFICE,2500014,06/15/2011,10/01/2020,,05403,BELLION CREEK,50,CATTLE,6/15/2011,7/15/2011,ACTIVE,15,8
LLMT001000,BILLINGS FIELD OFFICE,2500016,03/01/2015,01/14/2018,,05426,ORSON COULEE,21,CATTLE,3/1/2006,2/28/2007,ACTIVE,6,15
LLMT001000,BILLINGS FIELD OFFICE,2500018,03/01/2014,02/28/2024,FLPMA 402(C)(2)/APPROP ACT,05207,RIMROCK,1,CATTLE,3/1/2004,9/30/2004,CUSTODIAL,100,7
LLMT001000,BILLINGS FIELD OFFICE,2500047,04/12/2011,03/31/2016,FLPMA 402(C)(2)/APPROP ACT,05558,TROUT CREEK,76,CATTLE,7/1/2006,11/1/2006,ACTIVE,20,62
LLMT001000,BILLINGS FIELD OFFICE,2500052,08/01/2016,02/28/2026,FLPMA 402(C)(2)/APPROP ACT,04152,JUNCTION CITY,60,CATTLE,8/1/2006,11/1/2006,ACTIVE,79,145
LLMT001000,BILLINGS FIELD OFFICE,2500053,03/07/2012,02/28/2022,FLPMA 402(C)(2)/APPROP ACT,05458,LOWELL CREEK,33,CATTLE,6/1/1993,11/1/1993,ACTIVE,10,17
LLMT001000,BILLINGS FIELD OFFICE,2500091,04/15/2014,02/28/2024,,00960,CHURN DASH CREEK,29,CATTLE,3/1/2015,2/28/2016,ACTIVE,60,209
LLMT001000,BILLINGS FIELD OFFICE,2500171,05/01/2015,04/30/2025,FLPMA 402(C)(2)/APPROP ACT,01460,NORTH K HENRY,71,CATTLE,5/1/2005,10/30/2005,ACTIVE,45,192
LLMT001000,BILLINGS FIELD OFFICE,2500949,04/01/2013,12/31/2017,FLPMA 402(C)(2)/APPROP ACT,05572,STEINMETZ,8,CATTLE,3/1/2006,2/28/2007,ACTIVE,100,96
LLMT001000,BILLINGS FIELD OFFICE,2500974,03/01/2012,02/28/2022,,03114,CARSON COULEE,1,CATTLE,12/1/2006,4/1/2007,ACTIVE,100,4
LLMT001000,BILLINGS FIELD OFFICE,2501949,03/01/2008,02/28/2018,,05449,QUEBEC ALLOTMENT,1,CATTLE,3/1/2008,2/28/2009,CUSTODIAL,100,10
LLMT001000,BILLINGS FIELD OFFICE,2501951,03/01/2008,02/28/2018,,05377,NORTH POMPEY,275,CATTLE,4/15/2008,10/30/2008,CUSTODIAL,2,34
LLMT001000,BILLINGS FIELD OFFICE,2501952,03/30/2009,02/28/2019,,04100,NORTH FORK,4,CATTLE,3/1/2008,2/28/2009,ACTIVE,100,48
LLMT001000,BILLINGS FIELD OFFICE,2501953,06/01/2011,10/31/2020,,05520,BRIDGE COULEE,119,CATTLE,6/1/2011,10/31/2011,ACTIVE,20,120
LLMT001000,BILLINGS FIELD OFFICE,2501954,08/25/2005,08/24/2015,HOLD,04175,EMORY ROAD,45,CATTLE,9/1/2007,2/28/2008,ACTIVE,3,8
LLMT001000,BILLINGS FIELD OFFICE,2501964,03/01/2008,02/28/2018,,05516,FLETCHER CREEK,5,CATTLE,5/1/2008,11/30/2008,CUSTODIAL,100,58
LLMT001000,BILLINGS FIELD OFFICE,2501965,03/01/2008,02/28/2018,,05556,WHITEBIRD,15,CATTLE,6/1/2008,8/1/2008,ACTIVE,34,10
LLMT001000,BILLINGS FIELD OFFICE,2501966,03/27/2008,03/26/2018,,05355,BROWN INDIV.,375,CATTLE,3/1/2008,5/1/2008,ACTIVE,14,107
LLMT001000,BILLINGS FIELD OFFICE,2501966,03/27/2008,03/26/2018,,05355,BROWN INDIV.,375,CATTLE,11/1/2008,2/28/2009,ACTIVE,14,207
LLMT001000,BILLINGS FIELD OFFICE,2501979,03/01/2014,02/28/2024,FLPMA 402(C)(2)/APPROP ACT,05568,FROMBERG DIVIDE,1,CATTLE,3/1/2008,2/28/2009,CUSTODIAL,100,5
LLMT001000,BILLINGS FIELD OFFICE,2501990,03/15/2010,10/01/2019,,05467,DEAD DEER COULEE,25,CATTLE,3/15/2008,4/15/2008,ACTIVE,14,4
LLMT001000,BILLINGS FIELD OFFICE,2501990,03/15/2010,10/01/2019,,05467,DEAD DEER COULEE,23,YRLING CATTLE,7/1/2008,10/1/2008,ACTIVE,14,10
LLMT001000,BILLINGS FIELD OFFICE,2501995,03/01/2009,02/28/2019,,05470,NORRIS JOHNSON,3,CATTLE,3/1/2008,2/28/2009,ACTIVE,100,36
LLMT001000,BILLINGS FIELD OFFICE,2501996,03/28/2008,02/28/2018,,03195,COAL MINE,7,CATTLE,3/28/2008,2/28/2009,CUSTODIAL,100,81
LLMT001000,BILLINGS FIELD OFFICE,2502412,03/01/2009,02/28/2019,,04943,MEHLING IND.,41,CATTLE,3/1/2009,2/26/2010,ACTIVE,100,489
LLMT001000,BILLINGS FIELD OFFICE,2502445,05/01/2013,12/31/2015,FLPMA 402(C)(2)/APPROP ACT,04171,LOWER TWO BEAR RIDGE,80,CATTLE,5/1/2009,10/29/2009,ACTIVE,12,57
LLMT001000,BILLINGS FIELD OFFICE,2502446,06/16/2009,11/01/2018,,05571,ORCHARD CANAL,15,CATTLE,5/1/2009,11/1/2009,ACTIVE,11,10
LLMT001000,BILLINGS FIELD OFFICE,2502463,07/16/2009,02/28/2018,,05559,THREE CROSS RANCH,2,CATTLE,3/1/2009,2/28/2010,CUSTODIAL,100,19
LLMT001000,BILLINGS FIELD OFFICE,2502468,03/01/2016,02/28/2025,,04118,LOWER SAGE CREEK,19,CATTLE,6/15/2016,11/15/2016,ACTIVE,100,96
LLMT001000,BILLINGS FIELD OFFICE,2502468,03/01/2016,02/28/2025,,04118,LOWER SAGE CREEK,1,CATTLE,3/1/2016,2/28/2017,CUSTODIAL,100,10
LLMT001000,BILLINGS FIELD OFFICE,2502489,11/09/2009,09/01/2018,,05534,EAST FORK - SG CREEK,22,HORSE,7/1/2009,9/1/2009,ACTIVE,100,46
LLMT001000,BILLINGS FIELD OFFICE,2502695,03/01/2015,02/28/2019,FLPMA 402(C)(2)/APPROP ACT,04949,SILVER SAGE RANCH,258,CATTLE,5/15/2015,12/15/2015,ACTIVE,71,1295
LLMT001000,BILLINGS FIELD OFFICE,2502695,03/01/2015,02/28/2019,FLPMA 402(C)(2)/APPROP ACT,04985,ZIMMERMAN IND.,4,CATTLE,3/1/2010,2/28/2011,ACTIVE,100,48
LLMT001000,BILLINGS FIELD OFFICE,2503090,06/01/2010,10/03/2019,,04933,HORSETHIEF CREEK,18,HORSE,6/1/2010,10/3/2010,ACTIVE,100,74
LLMT001000,BILLINGS FIELD OFFICE,2503129,07/22/2015,04/01/2018,,04944,GOLF COURSE ROAD,45,CATTLE,6/1/2010,11/1/2010,ACTIVE,13,30
LLMT001000,BILLINGS FIELD OFFICE,2503132,07/10/2010,10/01/2019,,05483,RIVER,5,HORSE,7/10/2010,10/1/2010,ACTIVE,61,8
LLMT001000,BILLINGS FIELD OFFICE,2503133,03/01/2010,02/28/2020,,04912,CARELESS,10,CATTLE,3/1/2010,2/28/2011,CUSTODIAL,100,6
LLMT001000,BILLINGS FIELD OFFICE,2503135,06/01/2010,07/01/2019,,05432,SHANE CREEK,10,CATTLE,6/1/2010,7/1/2010,ACTIVE,100,10
LLMT001000,BILLINGS FIELD OFFICE,2503146,03/01/2012,02/28/2022,,03258,NORTH POMPEY,44,CATTLE,10/1/2012,6/1/2013,ACTIVE,39,138
LLMT001000,BILLINGS FIELD OFFICE,2503168,10/01/2010,12/31/2012,HOLD,09744,CHIMNEY BUTTE,24,CATTLE,3/1/2010,2/28/2011,ACTIVE,38,109
LLMT001000,BILLINGS FIELD OFFICE,2503176,10/01/2010,12/31/2012,HOLD,05002,WILLOW COULEE,10,CATTLE,3/1/2010,1/30/2011,ACTIVE,100,110
LLMT001000,BILLINGS FIELD OFFICE,2503186,11/01/2010,02/28/2020,,05405,PECK GULCH,25,CATTLE,3/1/2010,2/28/2011,ACTIVE,10,30
LLMT001000,BILLINGS FIELD OFFICE,2503190,10/01/2015,02/28/2020,,05314,MCCORMICK SPRINGS,29,HORSE,3/1/2010,2/28/2011,ACTIVE,13,45
LLMT001000,BILLINGS FIELD OFFICE,2503190,10/01/2015,02/28/2020,,05314,MCCORMICK SPRINGS,117,CATTLE,3/1/2010,2/28/2011,ACTIVE,13,183
LLMT001000,BILLINGS FIELD OFFICE,2503193,10/15/2010,02/28/2020,,05500,TONY CREEK,15,CATTLE,3/1/2010,2/28/2011,ACTIVE,10,18
LLMT001000,BILLINGS FIELD OFFICE,2503243,06/01/2016,08/01/2025,,04147,COTTONWOOD ROAD,20,CATTLE,6/1/2010,8/1/2010,ACTIVE,10,4
LLMT001000,BILLINGS FIELD OFFICE,2503249,05/13/2014,03/31/2017,,09682,CON COAL CO,1,CATTLE,10/1/2010,2/28/2011,CUSTODIAL,100,6
LLMT001000,BILLINGS FIELD OFFICE,2503249,05/13/2014,03/31/2017,,09682,CON COAL CO,1,CATTLE,3/1/2010,9/30/2010,ACTIVE,100,7
LLMT001000,BILLINGS FIELD OFFICE,2503261,06/01/2016,03/01/2019,,05331,PUMPKIN,60,CATTLE,6/1/2010,10/31/2010,ACTIVE,12,36
