Off CD,Fo Name,Auth No,P/L Eff Dt,P/L exp Dt,Permit Status,Allotment Number,Allotment Name,Lvsk #,Lvsk Kind,Pd Beg Dt,Pd End Dt,Type Use,PL %,Aums
LLNMA01000,RIO PUERCO FIELD OFFICE,3000222,03/01/2007,02/28/2017,,00762,ABO LEASE,7,CATTLE,3/1/2002,2/28/2003,ACTIVE,100,84
LLNMA01000,RIO PUERCO FIELD OFFICE,3000233,06/04/2014,02/28/2024,,00046,SAN YSIDRO PASTURE COMMUNITY,41,CATTLE,3/1/1996,2/28/1997,ACTIVE,100,492
LLNMA01000,RIO PUERCO FIELD OFFICE,3000358,08/15/2006,02/28/2016,,06078,RINCON,48,CATTLE,5/1/2000,10/30/2000,ACTIVE,100,289
LLNMA01000,RIO PUERCO FIELD OFFICE,3000401,05/01/2015,02/28/2025,,06081,SE AMBROSIA LAKE,23,CATTLE,3/1/1989,2/28/1990,ACTIVE,100,276
LLNMA01000,RIO PUERCO FIELD OFFICE,3000401,05/01/2015,02/28/2025,,06118,SW AMBROSIA LAKE,3,CATTLE,3/1/1993,2/28/1994,ACTIVE,100,36
LLNMA01000,RIO PUERCO FIELD OFFICE,3000411,04/07/2014,02/28/2024,,06082,BOBCAT HILL,243,CATTLE,11/15/1989,2/28/1990,ACTIVE,100,847
LLNMA01000,RIO PUERCO FIELD OFFICE,3000413,03/01/2007,02/28/2017,,00225,MYSTERY MOUNTAIN,1,CATTLE,3/1/1996,2/28/1997,ACTIVE,100,12
LLNMA01000,RIO PUERCO FIELD OFFICE,3000420,04/15/2014,02/28/2024,,06006,ARROYO DEL PUERTO,42,CATTLE,3/1/1998,2/28/1999,ACTIVE,100,504
LLNMA01000,RIO PUERCO FIELD OFFICE,3000429,02/20/2009,02/19/2019,FLPMA 402(C)(2)/APPROP ACT,00226,CERRO ENCIERRO,6,CATTLE,3/1/2000,2/28/2001,ACTIVE,100,72
LLNMA01000,RIO PUERCO FIELD OFFICE,3000430,04/08/2014,02/28/2024,,06086,SECTION 22,3,CATTLE,3/1/1989,2/28/1990,ACTIVE,100,36
LLNMA01000,RIO PUERCO FIELD OFFICE,3000438,04/08/2014,02/28/2024,,06025,MITCHELL DRAW,4,CATTLE,3/1/1989,2/28/1990,ACTIVE,100,48
LLNMA01000,RIO PUERCO FIELD OFFICE,3000439,04/08/2014,02/28/2024,,06026,TOPEKA,2,CATTLE,3/1/1989,2/28/1990,ACTIVE,100,24
LLNMA01000,RIO PUERCO FIELD OFFICE,3000440,01/14/2015,02/28/2024,FLPMA 402(C)(2)/APPROP ACT,06027,MT. POWELL,30,CATTLE,3/1/1989,2/28/1990,ACTIVE,100,360
LLNMA01000,RIO PUERCO FIELD OFFICE,3000441,05/01/2015,02/28/2025,,06070,ANTELOPE LOOKOUT,8,CATTLE,3/1/2001,2/28/2002,ACTIVE,100,96
LLNMA01000,RIO PUERCO FIELD OFFICE,3000442,04/15/2014,02/28/2024,,06079,EL TINTERO,9,CATTLE,3/1/2003,2/28/2004,ACTIVE,100,108
LLNMA01000,RIO PUERCO FIELD OFFICE,3000443,03/01/2008,02/28/2018,FLPMA 402(C)(2)/APPROP ACT,06085,MESA MONTANOSA 30,14,CATTLE,3/1/1998,2/28/1999,ACTIVE,100,168
LLNMA01000,RIO PUERCO FIELD OFFICE,3000450,04/08/2014,02/28/2024,,06055,DIVIDE,26,CATTLE,3/1/1990,2/28/1991,ACTIVE,100,312
LLNMA01000,RIO PUERCO FIELD OFFICE,3000457,04/15/2014,02/28/2024,,06032,RUBY WELL,6,CATTLE,10/1/2003,2/28/2004,ACTIVE,100,30
LLNMA01000,RIO PUERCO FIELD OFFICE,3000457,04/15/2014,02/28/2024,,06032,RUBY WELL,6,CATTLE,3/1/2003,5/31/2003,ACTIVE,100,18
LLNMA01000,RIO PUERCO FIELD OFFICE,3000458,04/07/2014,02/28/2024,,06073,BLUE WATER,8,CATTLE,3/1/1989,2/28/1990,ACTIVE,100,96
LLNMA01000,RIO PUERCO FIELD OFFICE,3000459,08/15/2006,02/28/2016,,06065,AMBROSIA LAKE,47,CATTLE,3/1/1989,2/28/1990,ACTIVE,100,564
LLNMA01000,RIO PUERCO FIELD OFFICE,3000460,04/27/2012,02/28/2022,,06075,NAVARRE,2,CATTLE,3/1/1989,2/28/1990,ACTIVE,100,24
LLNMA01000,RIO PUERCO FIELD OFFICE,3000465,01/14/2015,02/28/2024,FLPMA 402(C)(2)/APPROP ACT,06071,LAS TUCES,5,CATTLE,4/1/1989,10/31/1989,ACTIVE,100,35
LLNMA01000,RIO PUERCO FIELD OFFICE,3000467,04/08/2014,02/28/2024,,06047,MENTMORE,3,CATTLE,3/1/1989,2/28/1990,ACTIVE,100,36
LLNMA01000,RIO PUERCO FIELD OFFICE,3000471,04/07/2014,02/28/2024,,06036,BECENTI LAKE,12,CATTLE,3/1/1989,2/28/1990,ACTIVE,100,144
LLNMA01000,RIO PUERCO FIELD OFFICE,3000501,08/13/2012,02/28/2022,,00008,OJO DE LOS PINOS,50,CATTLE,3/1/1999,2/28/2000,ACTIVE,93,558
LLNMA01000,RIO PUERCO FIELD OFFICE,3000502,03/28/2014,02/28/2024,,00205,LOS PILARES,198,CATTLE,3/1/1994,2/28/1995,ACTIVE,64,1521
LLNMA01000,RIO PUERCO FIELD OFFICE,3000505,03/01/2011,02/28/2021,,00033,CEBO COMMUNITY,107,CATTLE,10/16/1989,2/28/1990,ACTIVE,93,445
LLNMA01000,RIO PUERCO FIELD OFFICE,3000505,03/01/2011,02/28/2021,,00033,CEBO COMMUNITY,107,CATTLE,3/1/1989,6/15/1989,ACTIVE,93,350
LLNMA01000,RIO PUERCO FIELD OFFICE,3000510,03/01/2015,02/28/2025,,00047,GUADALUPE,81,CATTLE,3/1/2015,2/28/2016,ACTIVE,60,583
