Off CD,Fo Name,Auth No,P/L Eff Dt,P/L exp Dt,Permit Status,Allotment Number,Allotment Name,Lvsk #,Lvsk Kind,Pd Beg Dt,Pd End Dt,Type Use,PL %,Aums
LLNVB01000,MOUNT LEWIS FO,2700138,03/05/2014,02/28/2024,FLPMA 402(C)(2)/APPROP ACT,10046,ROBERTS MOUNTAIN,85,CATTLE,3/1/1997,12/31/1997,ACTIVE,100,855
LLNVB01000,MOUNT LEWIS FO,2700138,03/05/2014,02/28/2024,FLPMA 402(C)(2)/APPROP ACT,10046,ROBERTS MOUNTAIN,1859,SHEEP,4/10/1997,10/15/1997,ACTIVE,100,2310
LLNVB01000,MOUNT LEWIS FO,2700138,03/05/2014,02/28/2024,FLPMA 402(C)(2)/APPROP ACT,10046,ROBERTS MOUNTAIN,1,CATTLE,1/1/2005,2/1/2005,ACTIVE,98,1
LLNVB01000,MOUNT LEWIS FO,2700138,03/05/2014,02/28/2024,FLPMA 402(C)(2)/APPROP ACT,10046,ROBERTS MOUNTAIN,31,CATTLE,1/1/2004,2/28/2004,ACTIVE,98,59
LLNVB01000,MOUNT LEWIS FO,2700138,03/05/2014,02/28/2024,FLPMA 402(C)(2)/APPROP ACT,10046,ROBERTS MOUNTAIN,1,CATTLE,9/1/2004,10/1/2004,ACTIVE,50,1
LLNVB01000,MOUNT LEWIS FO,2700138,03/05/2014,02/28/2024,FLPMA 402(C)(2)/APPROP ACT,10046,ROBERTS MOUNTAIN,1,CATTLE,1/1/2005,2/1/2005,ACTIVE,95,1
LLNVB01000,MOUNT LEWIS FO,2700138,03/05/2014,02/28/2024,FLPMA 402(C)(2)/APPROP ACT,10046,ROBERTS MOUNTAIN,178,CATTLE,9/1/2003,10/15/2003,ACTIVE,50,132
LLNVB01000,MOUNT LEWIS FO,2700138,03/05/2014,02/28/2024,FLPMA 402(C)(2)/APPROP ACT,10046,ROBERTS MOUNTAIN,1,CATTLE,10/16/2004,11/16/2004,ACTIVE,75,1
LLNVB01000,MOUNT LEWIS FO,2700138,03/05/2014,02/28/2024,FLPMA 402(C)(2)/APPROP ACT,10046,ROBERTS MOUNTAIN,181,CATTLE,10/16/2003,12/31/2003,ACTIVE,75,344
LLNVB01000,MOUNT LEWIS FO,2700138,03/05/2014,02/28/2024,FLPMA 402(C)(2)/APPROP ACT,10046,ROBERTS MOUNTAIN,101,CATTLE,10/16/2003,12/31/2003,ACTIVE,99,253
LLNVB01000,MOUNT LEWIS FO,2700138,03/05/2014,02/28/2024,FLPMA 402(C)(2)/APPROP ACT,10046,ROBERTS MOUNTAIN,32,CATTLE,1/1/2004,2/28/2004,ACTIVE,95,59
LLNVB01000,MOUNT LEWIS FO,2700138,03/05/2014,02/28/2024,FLPMA 402(C)(2)/APPROP ACT,10046,ROBERTS MOUNTAIN,695,CATTLE,3/10/1997,10/30/1997,ACTIVE,100,5370
LLNVB01000,MOUNT LEWIS FO,2700143,03/01/2015,02/28/2025,FLPMA 402(C)(2)/APPROP ACT,00064,3-BARS,19,CATTLE,3/1/2006,3/31/2006,ACTIVE,100,19
LLNVB01000,MOUNT LEWIS FO,2700143,03/01/2015,02/28/2025,FLPMA 402(C)(2)/APPROP ACT,00064,3-BARS,720,SHEEP,3/1/2005,2/28/2006,ACTIVE,100,1728
LLNVB01000,MOUNT LEWIS FO,2700143,03/01/2015,02/28/2025,FLPMA 402(C)(2)/APPROP ACT,00064,3-BARS,1,SHEEP,3/1/2006,3/31/2006,ACTIVE,100,1
LLNVB01000,MOUNT LEWIS FO,2700143,03/01/2015,02/28/2025,FLPMA 402(C)(2)/APPROP ACT,00064,3-BARS,341,CATTLE,3/1/2005,2/28/2006,ACTIVE,100,4092
LLNVB01000,MOUNT LEWIS FO,2700159,04/01/2015,03/31/2025,FLPMA 402(C)(2)/APPROP ACT,05423,GEYSER,1,CATTLE,4/1/2011,5/1/2011,ACTIVE,100,1
LLNVB01000,MOUNT LEWIS FO,2700159,04/01/2015,03/31/2025,FLPMA 402(C)(2)/APPROP ACT,05423,GEYSER,103,CATTLE,4/1/2011,12/2/2011,ACTIVE,100,833
LLNVB01000,MOUNT LEWIS FO,2700159,04/01/2015,03/31/2025,FLPMA 402(C)(2)/APPROP ACT,20001,ARGENTA,48,CATTLE,3/16/2005,12/31/2005,ACTIVE,100,459
LLNVB01000,MOUNT LEWIS FO,2700159,04/01/2015,03/31/2025,FLPMA 402(C)(2)/APPROP ACT,20001,ARGENTA,1,CATTLE,3/16/2005,4/16/2005,ACTIVE,100,1
LLNVB01000,MOUNT LEWIS FO,2700168,03/01/2016,02/28/2026,FLPMA 402(C)(2)/APPROP ACT,10003,CARICO LAKE,500,CATTLE,3/1/2006,4/30/2006,ACTIVE,100,1003
LLNVB01000,MOUNT LEWIS FO,2700168,03/01/2016,02/28/2026,FLPMA 402(C)(2)/APPROP ACT,10003,CARICO LAKE,1218,SHEEP,11/1/2006,2/28/2007,ACTIVE,100,961
LLNVB01000,MOUNT LEWIS FO,2700168,03/01/2016,02/28/2026,FLPMA 402(C)(2)/APPROP ACT,10003,CARICO LAKE,1218,SHEEP,2/15/2006,2/28/2006,ACTIVE,100,112
LLNVB01000,MOUNT LEWIS FO,2700168,03/01/2016,02/28/2026,FLPMA 402(C)(2)/APPROP ACT,10003,CARICO LAKE,1218,SHEEP,3/1/2006,4/30/2006,ACTIVE,100,489
LLNVB01000,MOUNT LEWIS FO,2700168,03/01/2016,02/28/2026,FLPMA 402(C)(2)/APPROP ACT,10003,CARICO LAKE,1507,SHEEP,11/1/2006,2/28/2007,ACTIVE,97,1153
LLNVB01000,MOUNT LEWIS FO,2700168,03/01/2016,02/28/2026,FLPMA 402(C)(2)/APPROP ACT,10003,CARICO LAKE,6545,SHEEP,3/1/2006,6/30/2006,ACTIVE,100,5250
LLNVB01000,MOUNT LEWIS FO,2700168,03/01/2016,02/28/2026,FLPMA 402(C)(2)/APPROP ACT,10003,CARICO LAKE,506,CATTLE,12/1/2005,2/28/2006,ACTIVE,100,1497
LLNVB01000,MOUNT LEWIS FO,2700184,03/05/2012,02/28/2022,FLPMA 402(C)(2)/APPROP ACT,00701,DUCKWATER,7,CATTLE,12/1/2011,2/28/2012,ACTIVE,100,21
LLNVB01000,MOUNT LEWIS FO,2700184,03/05/2012,02/28/2022,FLPMA 402(C)(2)/APPROP ACT,00701,DUCKWATER,8,CATTLE,3/1/2011,3/31/2011,ACTIVE,100,8
LLNVB01000,MOUNT LEWIS FO,2702890,03/01/2016,02/28/2026,FLPMA 402(C)(2)/APPROP ACT,10006,GRASS VALLEY,6,CATTLE,4/1/2016,5/1/2016,ACTIVE,100,6
LLNVB01000,MOUNT LEWIS FO,2702890,03/01/2016,02/28/2026,FLPMA 402(C)(2)/APPROP ACT,10006,GRASS VALLEY,1047,CATTLE,3/1/2016,11/30/2016,ACTIVE,100,9466
LLNVB01000,MOUNT LEWIS FO,2702890,03/01/2016,02/28/2026,FLPMA 402(C)(2)/APPROP ACT,10052,SIMPSON PARK,170,CATTLE,4/1/2016,4/30/2016,ACTIVE,100,168
LLNVB01000,MOUNT LEWIS FO,2702890,03/01/2016,02/28/2026,FLPMA 402(C)(2)/APPROP ACT,10052,SIMPSON PARK,249,CATTLE,4/1/2016,4/30/2016,ACTIVE,100,246
LLNVB01000,MOUNT LEWIS FO,2702890,03/01/2016,02/28/2026,FLPMA 402(C)(2)/APPROP ACT,10052,SIMPSON PARK,370,CATTLE,5/1/2016,6/30/2016,ACTIVE,100,742
LLNVB01000,MOUNT LEWIS FO,2702890,03/01/2016,02/28/2026,FLPMA 402(C)(2)/APPROP ACT,10052,SIMPSON PARK,85,CATTLE,7/1/2016,7/15/2016,ACTIVE,100,42
LLNVB01000,MOUNT LEWIS FO,2702890,03/01/2016,02/28/2026,FLPMA 402(C)(2)/APPROP ACT,10052,SIMPSON PARK,67,CATTLE,5/1/2016,7/15/2016,ACTIVE,100,167
LLNVB01000,MOUNT LEWIS FO,2702890,03/01/2016,02/28/2026,FLPMA 402(C)(2)/APPROP ACT,10052,SIMPSON PARK,170,CATTLE,9/1/2016,10/15/2016,ACTIVE,100,252
LLNVB01000,MOUNT LEWIS FO,2702890,03/01/2016,02/28/2026,FLPMA 402(C)(2)/APPROP ACT,10052,SIMPSON PARK,85,CATTLE,7/1/2016,7/15/2016,ACTIVE,100,42
LLNVB01000,MOUNT LEWIS FO,2702890,03/01/2016,02/28/2026,FLPMA 402(C)(2)/APPROP ACT,10052,SIMPSON PARK,170,CATTLE,7/16/2016,8/30/2016,ACTIVE,100,257
LLNVB01000,MOUNT LEWIS FO,2702890,03/01/2016,02/28/2026,FLPMA 402(C)(2)/APPROP ACT,10052,SIMPSON PARK,67,CATTLE,7/16/2016,8/15/2016,ACTIVE,100,68
LLNVB01000,MOUNT LEWIS FO,2702908,12/29/2011,12/31/2018,,10003,CARICO LAKE,898,CATTLE,2/1/2006,3/31/2006,ACTIVE,100,1742
LLNVB01000,MOUNT LEWIS FO,2702926,03/01/2016,02/28/2018,FLPMA 402(C)(2)/APPROP ACT,20001,ARGENTA,64,CATTLE,3/1/2006,2/28/2007,ACTIVE,56,430
LLNVB01000,MOUNT LEWIS FO,2703089,06/01/2009,10/31/2018,,10065,NIELSEN INDIVIDUAL,23,CATTLE,6/1/2007,10/31/2007,ACTIVE,100,116
LLNVB01000,MOUNT LEWIS FO,2703210,03/01/2015,02/28/2025,FLPMA 402(C)(2)/APPROP ACT,03009,CLAN ALPINE,1737,SHEEP,12/1/2011,2/28/2012,ACTIVE,100,1028
LLNVB01000,MOUNT LEWIS FO,2703210,03/01/2015,02/28/2025,FLPMA 402(C)(2)/APPROP ACT,03009,CLAN ALPINE,1739,SHEEP,3/1/2011,3/15/2011,ACTIVE,100,172
LLNVB01000,MOUNT LEWIS FO,2703211,03/01/2014,03/01/2018,,00142,SOUTH BUFFALO,743,CATTLE,3/1/2008,2/28/2009,ACTIVE,100,8916
LLNVB01000,MOUNT LEWIS FO,2703211,03/01/2014,03/01/2018,,10021,BUFFALO VALLEY,302,CATTLE,3/1/2008,2/28/2009,ACTIVE,100,3624
LLNVB01000,MOUNT LEWIS FO,2703213,11/11/2011,02/28/2018,FLPMA 402(C)(2)/APPROP ACT,10071,IONE,4250,SHEEP,11/11/2011,3/20/2012,ACTIVE,100,3661
LLNVB01000,MOUNT LEWIS FO,2703237,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,10035,DIAMOND SPRINGS,458,CATTLE,5/1/2000,12/30/2000,ACTIVE,100,3674
LLNVB01000,MOUNT LEWIS FO,2703237,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,10035,DIAMOND SPRINGS,6,CATTLE,5/1/2000,5/31/2000,ACTIVE,100,6
LLNVB01000,MOUNT LEWIS FO,2703239,05/01/2011,10/31/2020,FLPMA 402(C)(2)/APPROP ACT,10054,SPANISH GULCH,643,SHEEP,5/1/2008,9/30/2008,ACTIVE,100,647
LLNVB01000,MOUNT LEWIS FO,2703252,05/01/2011,10/31/2017,,10048,RUBY HILL,1005,SHEEP,5/1/2008,9/30/2008,ACTIVE,100,1011
LLNVB01000,MOUNT LEWIS FO,2703274,12/29/2011,12/31/2018,FLPMA 402(C)(2)/APPROP ACT,20001,ARGENTA,308,CATTLE,3/1/2009,3/31/2009,ACTIVE,100,314
LLNVB01000,MOUNT LEWIS FO,2703274,12/29/2011,12/31/2018,FLPMA 402(C)(2)/APPROP ACT,20001,ARGENTA,206,CATTLE,11/1/2008,2/28/2009,ACTIVE,100,813
LLNVB01000,MOUNT LEWIS FO,2703388,09/30/2009,12/30/2018,FLPMA 402(C)(2)/APPROP ACT,20001,ARGENTA,30,HORSE,3/1/2000,12/30/2000,ACTIVE,100,301
LLNVB01000,MOUNT LEWIS FO,2703604,11/01/2010,10/31/2020,FLPMA 402(C)(2)/APPROP ACT,10617,PANCAKE BLACK POINT,1,CATTLE,6/1/2005,1/31/2006,ACTIVE,100,8
LLNVB01000,MOUNT LEWIS FO,2703604,11/01/2010,10/31/2020,FLPMA 402(C)(2)/APPROP ACT,10617,PANCAKE BLACK POINT,67,CATTLE,6/1/2005,2/28/2006,ACTIVE,100,601
LLNVB01000,MOUNT LEWIS FO,2703605,11/05/2010,11/04/2020,,10038,FISH CREEK RANCH,600,CATTLE,4/1/2005,5/15/2005,ACTIVE,100,888
LLNVB01000,MOUNT LEWIS FO,2703605,11/05/2010,11/04/2020,,10038,FISH CREEK RANCH,600,CATTLE,3/1/2005,3/31/2005,ACTIVE,100,612
LLNVB01000,MOUNT LEWIS FO,2703673,03/01/2013,02/28/2021,FLPMA 402(C)(2)/APPROP ACT,10051,SHANNON STATION,130,CATTLE,4/1/2013,5/14/2013,ACTIVE,97,182
LLNVB01000,MOUNT LEWIS FO,2703673,03/01/2013,02/28/2021,FLPMA 402(C)(2)/APPROP ACT,10051,SHANNON STATION,68,CATTLE,1/1/2014,2/28/2014,ACTIVE,97,128
LLNVB01000,MOUNT LEWIS FO,2703673,03/01/2013,02/28/2021,FLPMA 402(C)(2)/APPROP ACT,10051,SHANNON STATION,300,CATTLE,5/15/2013,12/31/2013,ACTIVE,97,2210
LLNVB01000,MOUNT LEWIS FO,2703675,05/01/2011,02/28/2021,FLPMA 402(C)(2)/APPROP ACT,05473,UNION MOUNTAIN,21,CATTLE,11/1/2000,11/30/2000,ACTIVE,100,21
LLNVB01000,MOUNT LEWIS FO,2703675,05/01/2011,02/28/2021,FLPMA 402(C)(2)/APPROP ACT,05473,UNION MOUNTAIN,71,CATTLE,5/1/2000,8/15/2000,ACTIVE,100,250
LLNVB01000,MOUNT LEWIS FO,2703675,05/01/2011,02/28/2021,FLPMA 402(C)(2)/APPROP ACT,10034,NORTH DIAMOND,23,CATTLE,11/1/2000,12/30/2000,ACTIVE,100,45
LLNVB01000,MOUNT LEWIS FO,2703675,05/01/2011,02/28/2021,FLPMA 402(C)(2)/APPROP ACT,10034,NORTH DIAMOND,68,CATTLE,5/1/2000,10/18/2000,ACTIVE,100,382
LLNVB01000,MOUNT LEWIS FO,2703675,05/01/2011,02/28/2021,FLPMA 402(C)(2)/APPROP ACT,10034,NORTH DIAMOND,22,CATTLE,5/1/2000,10/18/2000,ACTIVE,100,124
LLNVB01000,MOUNT LEWIS FO,2703675,05/01/2011,02/28/2021,FLPMA 402(C)(2)/APPROP ACT,10034,NORTH DIAMOND,110,CATTLE,12/15/2000,1/31/2001,ACTIVE,100,174
LLNVB01000,MOUNT LEWIS FO,2703680,05/09/2011,05/08/2021,FLPMA 402(C)(2)/APPROP ACT,10023,SAN JUAN,86,CATTLE,3/1/2011,2/28/2012,ACTIVE,100,1032
LLNVB01000,MOUNT LEWIS FO,2703680,05/09/2011,05/08/2021,FLPMA 402(C)(2)/APPROP ACT,10023,SAN JUAN,90,CATTLE,3/1/2011,2/28/2012,ACTIVE,100,1080
