Off CD,Fo Name,Auth No,P/L Eff Dt,P/L exp Dt,Permit Status,Allotment Number,Allotment Name,Lvsk #,Lvsk Kind,Pd Beg Dt,Pd End Dt,Type Use,PL %,Aums
LLORB05000,THREE RIVERS RA,3600067,03/01/2011,02/28/2021,,05300,ALKALI,17,CATTLE,5/1/2000,8/31/2000,ACTIVE,100,69
LLORB05000,THREE RIVERS RA,3600067,03/01/2011,02/28/2021,,05531,STINKINGWATER,132,CATTLE,4/16/1989,9/20/1989,ACTIVE,100,686
LLORB05000,THREE RIVERS RA,3600067,03/01/2011,02/28/2021,,05558,J & G FFR,11,CATTLE,9/1/1989,11/30/1989,ACTIVE,100,33
LLORB05000,THREE RIVERS RA,3600069,03/31/2012,02/28/2022,FLPMA 402(C)(2)/APPROP ACT,05518,NEWELL FIELD,50,CATTLE,4/1/2002,4/15/2002,ACTIVE,55,14
LLORB05000,THREE RIVERS RA,3600069,03/31/2012,02/28/2022,FLPMA 402(C)(2)/APPROP ACT,05518,NEWELL FIELD,85,CATTLE,8/1/2002,10/31/2002,ACTIVE,55,141
LLORB05000,THREE RIVERS RA,3600069,03/31/2012,02/28/2022,FLPMA 402(C)(2)/APPROP ACT,05519,BIG UPSON FIELD,20,CATTLE,11/1/2008,12/31/2008,ACTIVE,100,40
LLORB05000,THREE RIVERS RA,3600069,03/31/2012,02/28/2022,FLPMA 402(C)(2)/APPROP ACT,05520,LITTLE UPSON,17,CATTLE,4/1/2002,10/31/2002,ACTIVE,20,24
LLORB05000,THREE RIVERS RA,3600069,03/31/2012,02/28/2022,FLPMA 402(C)(2)/APPROP ACT,05521,ROCKY BASIN,180,CATTLE,4/1/2002,6/20/2002,ACTIVE,100,479
LLORB05000,THREE RIVERS RA,3600069,03/31/2012,02/28/2022,FLPMA 402(C)(2)/APPROP ACT,05523,TUB SPRINGS-HART,189,CATTLE,4/16/2008,9/24/2008,ACTIVE,100,1007
LLORB05000,THREE RIVERS RA,3600069,03/31/2012,02/28/2022,FLPMA 402(C)(2)/APPROP ACT,05528,COOLER,100,CATTLE,4/16/2008,9/23/2008,ACTIVE,100,529
LLORB05000,THREE RIVERS RA,3600139,03/01/2009,02/28/2019,,05306,ROCKY FORD,209,CATTLE,4/16/1990,8/30/1990,ACTIVE,100,941
LLORB05000,THREE RIVERS RA,3600166,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,05305,CROWS NEST,106,CATTLE,3/1/2002,10/15/2002,ACTIVE,100,798
LLORB05000,THREE RIVERS RA,3600166,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,05323,CLEMENS FFR,35,CATTLE,8/1/1990,9/30/1990,ACTIVE,100,70
LLORB05000,THREE RIVERS RA,3600166,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,05331,SMYTH-KIGER,326,CATTLE,4/1/1990,10/31/1990,ACTIVE,100,2294
LLORB05000,THREE RIVERS RA,3600179,03/01/2016,02/28/2019,,07043,LONE PINE,164,CATTLE,4/1/2003,5/31/2003,ACTIVE,100,329
LLORB05000,THREE RIVERS RA,3600179,03/01/2016,02/28/2019,,07045,WHITING FFR,8,CATTLE,4/16/2003,10/15/2003,ACTIVE,100,48
LLORB05000,THREE RIVERS RA,3600183,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,07005,SECOND FLAT FFR,7,CATTLE,4/1/2008,10/31/2008,ACTIVE,100,49
LLORB05000,THREE RIVERS RA,3600183,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,07023,WEST SAGEHEN,271,CATTLE,4/1/2008,10/31/2008,ACTIVE,100,1907
LLORB05000,THREE RIVERS RA,3600183,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,07056,DOUBLE O,6,CATTLE,5/1/2002,7/31/2002,ACTIVE,100,18
LLORB05000,THREE RIVERS RA,3600190,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,05202,HUNTER,300,CATTLE,5/1/1990,6/15/1990,ACTIVE,100,454
LLORB05000,THREE RIVERS RA,3600190,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,05203,CATTERSON FFR,78,CATTLE,5/2/1990,6/19/1990,ACTIVE,100,126
LLORB05000,THREE RIVERS RA,3600190,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,05303,DRY LAKE,645,CATTLE,4/1/1990,10/15/1990,ACTIVE,100,4199
LLORB05000,THREE RIVERS RA,3600190,03/01/2013,02/28/2023,FLPMA 402(C)(2)/APPROP ACT,05536,ALDER CREEK,371,CATTLE,5/1/2013,8/31/2013,ACTIVE,100,1500
LLORB05000,THREE RIVERS RA,3600195,03/01/2009,02/28/2019,,05560,WEST VICKERS FFR,16,CATTLE,4/1/2004,10/30/2004,ACTIVE,100,112
