Off CD,Fo Name,Auth No,P/L Eff Dt,P/L exp Dt,Permit Status,Allotment Number,Allotment Name,Lvsk #,Lvsk Kind,Pd Beg Dt,Pd End Dt,Type Use,PL %,Aums
LLUT030000,GS/ESCALANTE NTL MON,4300007,01/01/2014,12/31/2023,FLPMA 402(C)(2)/APPROP ACT,14120,SWALLOW PARK,54,CATTLE,5/10/2001,10/20/2001,ACTIVE,100,291
LLUT030000,GS/ESCALANTE NTL MON,4300011,01/01/2014,12/31/2023,FLPMA 402(C)(2)/APPROP ACT,04130,VERMILION,285,CATTLE,10/1/1989,1/15/1990,ACTIVE,100,1003
LLUT030000,GS/ESCALANTE NTL MON,4300011,01/01/2014,12/31/2023,FLPMA 402(C)(2)/APPROP ACT,04130,VERMILION,285,CATTLE,3/1/1989,5/15/1989,ACTIVE,100,712
LLUT030000,GS/ESCALANTE NTL MON,4300011,01/01/2014,12/31/2023,FLPMA 402(C)(2)/APPROP ACT,04130,VERMILION,285,CATTLE,6/1/1989,9/15/1989,ACTIVE,100,1003
LLUT030000,GS/ESCALANTE NTL MON,4300011,01/01/2014,12/31/2023,FLPMA 402(C)(2)/APPROP ACT,04130,VERMILION,285,CATTLE,2/16/1990,2/28/1990,ACTIVE,100,122
LLUT030000,GS/ESCALANTE NTL MON,4300013,01/01/2014,12/31/2023,FLPMA 402(C)(2)/APPROP ACT,04161,SECOND POINT,10,CATTLE,8/1/1996,9/30/1996,ACTIVE,100,20
LLUT030000,GS/ESCALANTE NTL MON,4300013,01/01/2014,12/31/2023,FLPMA 402(C)(2)/APPROP ACT,14009,BOOT,15,CATTLE,8/1/1989,10/31/1989,ACTIVE,100,45
LLUT030000,GS/ESCALANTE NTL MON,4300016,01/01/2013,12/31/2022,FLPMA 402(C)(2)/APPROP ACT,24044,FLOOD CANYON,37,CATTLE,7/1/1994,10/31/1994,ACTIVE,100,150
LLUT030000,GS/ESCALANTE NTL MON,4300016,01/01/2013,12/31/2022,FLPMA 402(C)(2)/APPROP ACT,24064,JOHNSON LAKES,58,CATTLE,6/1/1989,11/30/1989,ACTIVE,100,349
LLUT030000,GS/ESCALANTE NTL MON,4300021,01/01/2014,12/31/2023,FLPMA 402(C)(2)/APPROP ACT,24030,DEER SPRING POINT,118,CATTLE,6/10/1989,10/17/1989,ACTIVE,95,479
LLUT030000,GS/ESCALANTE NTL MON,4300021,01/01/2014,12/31/2023,FLPMA 402(C)(2)/APPROP ACT,24030,DEER SPRING POINT,25,CATTLE,6/10/1989,10/17/1989,ACTIVE,100,107
