Off CD,Fo Name,Auth No,P/L Eff Dt,P/L exp Dt,Permit Status,Allotment Number,Allotment Name,Lvsk #,Lvsk Kind,Pd Beg Dt,Pd End Dt,Type Use,PL %,Aums
LLWYD01000,PINEDALE FO,4900101,03/01/2012,02/28/2022,,02144,LOWER HORSE CREEK -I,300,CATTLE,5/23/2003,6/15/2003,ACTIVE,100,237
LLWYD01000,PINEDALE FO,4900110,03/01/2012,02/28/2022,,02053,CLARK-BLOOM COM,202,CATTLE,5/16/2003,6/20/2003,ACTIVE,100,239
LLWYD01000,PINEDALE FO,4900110,03/01/2012,02/28/2022,,12121,W FREMONT RIDGE COM,161,CATTLE,9/16/2003,9/24/2003,ACTIVE,100,48
LLWYD01000,PINEDALE FO,4900110,03/01/2012,02/28/2022,,12121,W FREMONT RIDGE COM,162,CATTLE,5/30/2003,6/30/2003,ACTIVE,100,170
LLWYD01000,PINEDALE FO,4900110,03/01/2012,02/28/2022,,12126,HAY GULCH,162,CATTLE,5/16/2003,5/29/2003,ACTIVE,100,75
LLWYD01000,PINEDALE FO,4900112,03/01/2012,02/28/2022,,02038,BUYER HORSE CR IND,276,CATTLE,5/27/2003,7/11/2003,ACTIVE,100,417
LLWYD01000,PINEDALE FO,4900115,03/01/2015,02/28/2020,FLPMA 402(C)(2)/APPROP ACT,02131,S RIDGE SOAPHOLE COM,75,CATTLE,5/1/2015,6/15/2015,ACTIVE,50,57
LLWYD01000,PINEDALE FO,4900115,03/01/2015,02/28/2020,FLPMA 402(C)(2)/APPROP ACT,02149,MILLER PINEY IND.,127,CATTLE,6/1/2015,6/10/2015,ACTIVE,100,42
LLWYD01000,PINEDALE FO,4900115,03/01/2015,02/28/2020,FLPMA 402(C)(2)/APPROP ACT,12217,COTTONWOOD GAP    -I,91,CATTLE,5/1/2015,5/30/2015,ACTIVE,100,90
LLWYD01000,PINEDALE FO,4900176,03/01/2015,02/28/2018,,02184,SANDY FENCED IND,150,CATTLE,6/2/2008,9/30/2008,ACTIVE,5,30
LLWYD01000,PINEDALE FO,4900182,03/01/2014,02/28/2024,FLPMA 402(C)(2)/APPROP ACT,02082,EAST FORK RIVER TR.,3,HORSE,5/1/2004,5/31/2004,ACTIVE,100,3
LLWYD01000,PINEDALE FO,4900196,03/01/2008,02/28/2018,FLPMA 402(C)(2)/APPROP ACT,02059,RYEGRASS INDIVIDUAL,123,CATTLE,7/1/2008,8/30/2008,ACTIVE,98,242
LLWYD01000,PINEDALE FO,4900196,03/01/2008,02/28/2018,FLPMA 402(C)(2)/APPROP ACT,02060,RYEGRASS ISOLATED,36,CATTLE,7/1/2008,7/15/2008,ACTIVE,100,18
LLWYD01000,PINEDALE FO,4900196,03/01/2008,02/28/2018,FLPMA 402(C)(2)/APPROP ACT,02105,TODD PASTURE,2,CATTLE,6/1/2008,11/15/2008,ACTIVE,100,11
LLWYD01000,PINEDALE FO,4900280,03/01/2009,02/28/2019,FLPMA 402(C)(2)/APPROP ACT,02040,SOUTH DESERT ALLOT.,508,CATTLE,5/1/1989,6/15/1989,ACTIVE,100,768
LLWYD01000,PINEDALE FO,4904301,03/01/2008,02/28/2018,,02000,DANIEL RIDGE IND,17,CATTLE,5/15/1989,7/14/1989,ACTIVE,29,10
LLWYD01000,PINEDALE FO,4904302,03/01/2012,02/28/2022,,02055,LAUZER MARSH CR IND,166,CATTLE,6/16/1989,7/15/1989,ACTIVE,100,164
LLWYD01000,PINEDALE FO,4904302,03/01/2012,02/28/2022,,02056,THREE ISLAND IND,120,CATTLE,7/1/1989,7/30/1989,ACTIVE,100,118
LLWYD01000,PINEDALE FO,4904302,03/01/2012,02/28/2022,,12011,EAST CORA ROAD IND.,14,CATTLE,6/1/1989,6/30/1989,ACTIVE,100,14
LLWYD01000,PINEDALE FO,4904302,03/01/2012,02/28/2022,,12220,CORA ROAD IND,90,CATTLE,6/1/1989,6/15/1989,ACTIVE,94,42
